Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Darius,8,16,3%,4,4,50%,2.3,7.8,29:34:00,7.7,332,401,4.5,310,-122
Yone,15,9,3%,9,6,60%,3.4,7,31:25:00,8.6,461,431,-0.3,306,231
Urgot,12,11,3%,6,6,50%,2.6,6.7,30:13:00,8.1,416,413,-2.1,-180,-97
Olaf,11,10,3%,5,6,45%,2,8.2,30:44:00,6.7,401,369,12.1,491,394
Vayne,13,8,3%,5,8,38%,2.3,8.4,31:51:00,8.6,493,421,9.2,91,-99
Draven,11,8,3%,6,5,55%,2.9,4.4,32:14:00,8.4,549,463,9.6,97,166
Wukong,14,5,3%,7,7,50%,1.9,8,33:57:00,7.1,354,361,-6,-515,-255
Rumble,7,11,2%,1,6,14%,1.9,4.5,28:44:00,6.5,468,339,-0.8,356,371
Lissandra,6,9,2%,4,2,67%,2.5,8.1,30:39:00,8.5,491,390,0.5,-477,-25
Lucian,11,4,2%,6,5,55%,3.4,7.8,32:01:00,8.8,561,436,8.1,121,97
Blitzcrank,6,8,2%,3,3,50%,2.4,7.1,31:59:00,1.1,150,236,1.3,166,-72
Evelynn,2,12,2%,1,1,50%,1.4,3.1,25:00:00,5.5,197,308,-11,-808,-448
Senna,6,7,2%,0,6,0%,2.2,5.7,31:18:00,1.3,457,285,-12,659,-586
Cassiopeia,8,4,2%,5,3,63%,3.8,4,35:55:00,8.3,569,425,-2.4,-407,-129
Zed,7,4,1%,4,3,57%,3.1,8.5,33:46:00,7,465,398,-5.7,36,87
Riven,6,4,1%,2,4,33%,2,3.5,33:01:00,8.5,333,414,-7,-199,-535
Soraka,6,4,1%,1,5,17%,3.9,6.8,29:48:00,3.1,185,269,-11.8,-162,501
Kalista,4,6,1%,3,1,75%,4.2,4.5,27:33:00,9.3,452,457,18.8,359,284
Kassadin,3,6,1%,1,2,33%,3.4,5.7,31:47:00,8.7,616,414,12.7,-6,-26
Nami,8,1,1%,3,5,38%,3.8,10,30:22:00,0.8,145,243,-5.5,-171,124
Twitch,6,3,1%,2,4,33%,3.2,2,33:39:00,8,542,411,-15.5,-890,-435
Sejuani,8,0,1%,5,3,63%,4,-,30:01:00,5.2,306,342,-4.2,91,-255
Xerath,4,4,1%,1,3,25%,3.7,6.5,33:09:00,7.8,638,369,-8.2,130,69
Ekko,3,5,1%,2,1,67%,3.5,7.6,30:36:00,8.8,645,481,6,1130,-198
Kindred,7,1,1%,4,3,57%,3,7,29:08:00,7.2,473,401,8.8,620,410
KhaZix,2,5,1%,0,2,0%,2.8,7,31:06:00,6.5,397,353,-1.5,-306,484
Nasus,5,2,1%,3,2,60%,1.6,10,30:19:00,7.1,530,375,-25.6,-1748,-1086
Nocturne,6,1,1%,2,4,33%,3.8,3,27:02:00,6.2,320,363,17,888,763
Shen,5,2,1%,1,4,20%,3.2,9,28:29:00,5,260,295,-24.5,-558,-185
Qiyana,2,5,1%,0,2,0%,3.4,4,32:48:00,6.8,368,361,-15,-1279,-956
Ashe,4,2,1%,4,0,100%,12.2,6,35:33:00,8.6,545,434,-8.5,-211,-364
Taric,5,1,1%,3,2,60%,4.5,7,28:53:00,1.2,66,243,2.5,-4,187
Ivern,4,2,1%,3,1,75%,5,6.5,26:49:00,5.2,216,339,-12.8,-77,-225
Janna,2,3,1%,0,2,0%,2.9,7.7,34:30:00,1.3,92,217,-0.5,-494,-13
KogMaw,3,2,1%,1,2,33%,3.2,9.5,29:58:00,8.6,570,399,-2,2,-314
Miss Fortune,3,2,1%,3,0,100%,4.2,9,38:29:00,9.1,773,493,2,40,-230
Morgana,3,2,1%,2,1,67%,4.9,9,30:14:00,0.5,305,260,-14.3,371,253
Shyvana,5,0,1%,3,2,60%,3.9,-,36:58:00,7.9,525,403,8.4,208,222
Sona,2,3,1%,2,0,100%,-,8.3,26:48:00,0.9,201,288,3,652,798
VelKoz,3,2,1%,2,1,67%,4.4,4.5,28:14:00,8.3,718,427,17.3,410,323
Kled,3,2,1%,3,0,100%,5.4,2.5,34:34:00,7.5,520,435,-7.7,314,363
Kayn,5,0,1%,1,4,20%,3.4,-,28:34:00,6,558,398,-8,-304,-565
Annie,2,2,1%,0,2,0%,2.3,1,34:03:00,6.9,501,354,13,-216,-786
Shaco,3,1,1%,1,2,33%,4.1,9,31:18:00,5,337,351,-6.3,377,-261
Zac,3,1,1%,1,2,33%,2.1,7,30:22:00,2.6,253,275,-13.7,263,-189
Anivia,2,1,0%,0,2,0%,0.9,7,28:04:00,8.2,579,343,16.5,532,361
Dr. Mundo,2,1,0%,0,2,0%,2.7,10,40:28:00,6.4,686,354,10,886,-25
Mordekaiser,2,1,0%,0,2,0%,1.7,8,33:37:00,7.2,524,393,-4.5,930,357
Talon,2,1,0%,0,2,0%,1.1,2,26:01:00,7.3,449,405,-47.5,-960,-1420
Vi,3,0,0%,1,2,33%,1.6,-,34:08:00,5.5,297,336,-27,-2296,-2136
Vladimir,0,3,0%,,,,,9,0:00,,,,,,
Lillia,2,1,0%,1,1,50%,5.8,4,27:40:00,6.9,428,403,-5,197,-405
Chogath,2,0,0%,1,1,50%,1.6,-,30:09:00,7.3,449,359,-8,-174,-74
Heimerdinger,0,2,0%,,,,,1.5,0:00,,,,,,
Malzahar,1,1,0%,1,0,100%,-,8,25:46:00,8.5,381,376,23,571,1002
Teemo,2,0,0%,1,1,50%,2.3,-,30:44:00,6.6,862,448,12,1952,1830
Fizz,1,0,0%,0,1,0%,1.2,-,25:11:00,5.3,218,325,-25,-1358,-761
Pantheon,1,0,0%,1,0,100%,3.5,-,29:00:00,2,134,265,3,600,180
Singed,1,0,0%,1,0,100%,2.3,-,31:02:00,4.6,588,370,-52,-409,-1342
Sivir,1,0,0%,0,1,0%,1.3,-,25:51:00,8.7,504,347,-2,-501,348
Yorick,1,0,0%,0,1,0%,0.2,-,26:40:00,8.4,532,392,-22,-572,-1572
Bard,1,0,0%,1,0,100%,3.3,-,30:11:00,0.5,166,253,-22,255,-371
Amumu,0,0,0%,,,,,-,0:00,,,,,,
Brand,0,0,0%,,,,,-,0:00,,,,,,
Elise,0,0,0%,,,,,-,0:00,,,,,,
Fiddlesticks,0,0,0%,,,,,-,0:00,,,,,,
Garen,0,0,0%,,,,,-,0:00,,,,,,
Katarina,0,0,0%,,,,,-,0:00,,,,,,
Kayle,0,0,0%,,,,,-,0:00,,,,,,
Maokai,0,0,0%,,,,,-,0:00,,,,,,
Master Yi,0,0,0%,,,,,-,0:00,,,,,,
Nunu,0,0,0%,,,,,-,0:00,,,,,,
Quinn,0,0,0%,,,,,-,0:00,,,,,,
Rammus,0,0,0%,,,,,-,0:00,,,,,,
Rengar,0,0,0%,,,,,-,0:00,,,,,,
Skarner,0,0,0%,,,,,-,0:00,,,,,,
Swain,0,0,0%,,,,,-,0:00,,,,,,
Warwick,0,0,0%,,,,,-,0:00,,,,,,
Zyra,0,0,0%,,,,,-,0:00,,,,,,
Illaoi,0,0,0%,,,,,-,0:00,,,,,,
Aurelion Sol,0,0,0%,,,,,-,0:00,,,,,,
Taliyah,0,0,0%,,,,,-,0:00,,,,,,
Neeko,0,0,0%,,,,,-,0:00,,,,,,
Belveth,0,0,0%,,,,,-,0:00,,,,,,
Nilah,0,0,0%,,,,,-,0:00,,,,,,
