Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Zeri,164,546,94%,93,71,57%,4.7,3.7,31:23:00,9.3,571,450,-2.7,-295,-98
Jinx,462,225,91%,249,213,54%,4.4,4.7,31:06:00,9.6,567,454,1,81,-92
Gwen,177,452,83%,95,82,54%,2.6,4.2,31:24:00,8.2,462,398,-1,-172,-87
Ryze,230,352,77%,106,124,46%,3.4,4.3,30:56:00,8.9,416,404,4.4,46,32
Hecarim,269,282,73%,140,129,52%,3.6,4.6,31:11:00,5.8,284,347,6.9,155,166
Nautilus,353,154,67%,174,179,49%,2.4,6.9,31:24:00,1.1,139,232,1.8,-80,-43
Xin Zhao,279,228,67%,133,146,48%,2.6,4.8,31:40:00,5.4,302,330,-3.5,-160,-101
Lee Sin,249,237,64%,128,121,51%,3.4,4.1,31:22:00,5.4,286,346,-2.6,91,15
Aphelios,380,102,64%,190,190,50%,3.6,5.2,31:32:00,9,518,432,0.4,124,49
Ahri,281,197,63%,148,133,53%,4.6,5.4,31:18:00,8.3,483,398,1.9,169,93
Gnar,278,140,55%,129,149,46%,2.4,6.9,31:17:00,8.1,458,392,2.4,104,83
Leona,257,125,51%,127,130,49%,2.4,7.5,31:20:00,1.2,109,234,1.9,-18,-41
Jayce,125,242,49%,65,60,52%,2.5,6.3,31:55:00,8.5,663,413,10.5,328,68
Tahm Kench,179,164,45%,92,87,51%,3,6.1,31:33:00,1.1,160,236,3.9,0,158
Tryndamere,90,249,45%,43,47,48%,2.8,5.7,32:06:00,8.7,422,433,4.4,523,344
Volibear,179,126,40%,95,84,53%,3.3,5.6,31:49:00,4.9,266,321,-7.9,-195,-268
Graves,188,113,40%,93,95,49%,2.5,5.6,31:41:00,8.8,499,411,2.2,-36,-72
Thresh,120,179,40%,67,53,56%,3.1,5.6,32:00:00,1.1,111,235,2.8,-12,0
LeBlanc,101,188,38%,40,61,40%,3.7,6.2,31:48:00,7.6,522,379,2.3,110,196
Camille,111,169,37%,62,49,56%,2.8,7.3,30:30:00,7.4,435,392,-5.1,-184,-26
Viego,189,90,37%,96,93,51%,3.4,5.5,31:41:00,5.7,280,351,3.6,153,139
Akali,95,180,36%,56,39,59%,3.4,5,31:44:00,7.6,499,392,-4.7,-81,86
Twisted Fate,56,186,32%,33,23,59%,4.8,4.1,32:08:00,7.4,422,399,-14.6,99,-395
Rakan,120,102,29%,68,52,57%,4.2,7.5,31:49:00,1.2,148,246,0.7,57,-55
Caitlyn,46,173,29%,23,23,50%,3.8,3.9,32:48:00,9.1,546,442,10.6,500,204
Karma,89,129,29%,43,46,48%,3.6,4.1,32:09:00,3,290,275,-12.4,-245,-156
Syndra,86,106,25%,41,45,48%,2.9,6.9,33:15:00,8.2,522,385,5.7,-5,-92
Viktor,120,71,25%,67,53,56%,3.7,6.7,31:56:00,8.8,636,411,4.3,53,206
Vex,85,96,24%,42,43,49%,2.9,7.4,31:34:00,7.7,461,371,-6.5,-255,-235
Orianna,102,67,22%,44,58,43%,4,7.4,31:32:00,8.7,475,392,4.4,-90,44
Renekton,61,92,20%,27,34,44%,2,6.1,31:09:00,8.2,353,383,5,67,-14
Diana,48,101,20%,21,27,44%,2.7,3.9,30:24:00,6.4,400,364,12.7,113,239
Jarvan IV,61,81,19%,29,32,48%,3.2,6.7,30:28:00,5.1,250,329,-7.3,-125,-267
Sylas,77,58,18%,45,32,58%,3.5,8.2,31:31:00,7.6,449,383,-7.7,-257,-91
Renata Glasc,62,61,16%,31,31,50%,3.9,5.5,30:20:00,1,153,242,-3.8,101,237
Irelia,29,93,16%,18,11,62%,2.3,6.6,30:57:00,8.7,445,426,9.5,57,-157
Jhin,85,28,15%,31,54,36%,4.1,6.3,31:51:00,8.6,449,406,-5.9,-392,-24
Galio,55,55,15%,33,22,60%,4,5.8,30:12:00,5.9,332,336,-11.4,-232,-113
Alistar,73,36,14%,35,38,48%,2.7,8.4,31:14:00,1.1,130,235,-0.7,89,-67
Zilean,44,59,14%,19,25,43%,4,6.7,31:27:00,5,257,297,-9.1,-349,76
Xayah,75,27,14%,38,37,51%,4.5,6.3,31:34:00,9.3,596,434,0,102,158
Trundle,63,38,13%,37,26,59%,3.9,5.2,32:17:00,4.9,260,327,-10.6,-267,-369
Veigar,31,66,13%,12,19,39%,3.1,6.3,29:59:00,8.3,420,396,-7.9,101,-164
Yuumi,37,57,12%,13,24,35%,4.6,6.8,30:31:00,0.2,257,233,-16.2,-175,36
Ezreal,60,33,12%,27,33,45%,3.2,8.1,32:25:00,8.8,703,417,-2.3,-143,107
Kaisa,67,25,12%,33,34,49%,4,7.7,30:59:00,9.3,585,454,5.7,147,167
Gangplank,38,52,12%,23,15,61%,4.2,7,31:36:00,8.4,563,435,4.8,322,-75
Sett,55,33,12%,29,26,53%,2.3,7.7,30:54:00,3.6,294,305,-3.7,82,-97
Corki,51,36,12%,27,24,53%,4.2,5.9,32:59:00,9.1,728,437,2.4,29,-38
Lulu,41,34,10%,20,21,49%,3.8,8.1,30:51:00,0.9,115,241,-4,39,-93
Zoe,29,46,10%,14,15,48%,5.1,6.8,30:04:00,7.8,506,371,1,97,26
Braum,42,29,9%,17,25,40%,3.1,8.2,31:32:00,1.1,155,229,1.2,-103,-82
Kennen,42,28,9%,25,17,60%,2.7,8.4,31:41:00,7.5,492,369,2.7,74,223
Sion,47,18,9%,21,26,45%,2.5,5.9,31:46:00,7,342,338,-12,-558,-142
Aatrox,37,27,8%,13,24,35%,2.1,8.2,30:58:00,7.8,460,379,6.6,384,444
Gragas,46,18,8%,23,23,50%,2.9,8.7,32:25:00,6.5,434,330,-16.6,-772,-281
Akshan,16,47,8%,7,9,44%,2,4.3,28:32:00,8.2,470,400,-3.3,148,-217
Malphite,25,36,8%,13,12,52%,2.5,8.9,30:31:00,6.7,411,337,-10.8,-497,-11
Fiora,28,29,8%,14,14,50%,2.4,4.4,30:06:00,7.9,478,396,2.8,-197,34
Varus,44,10,7%,18,26,41%,3.3,6.7,31:53:00,8.6,500,407,2.5,65,154
Tristana,40,13,7%,12,28,30%,2.7,6.9,30:49:00,9,464,427,-0.2,-18,80
Ornn,29,23,7%,15,14,52%,3.4,6.8,30:24:00,6.8,335,333,-10.4,-424,-76
Yasuo,17,30,6%,6,11,35%,2.1,5.8,29:13:00,8.2,342,403,2.5,-14,-254
Lux,23,20,6%,10,13,43%,3.3,3.5,32:48:00,1.1,346,259,-12,353,100
Rell,29,13,6%,14,15,48%,2.6,7.2,32:27:00,1.1,131,230,1.2,-77,-103
Poppy,18,23,5%,9,9,50%,2.7,6.4,31:31:00,5.3,274,319,0.7,106,164
Jax,17,23,5%,11,6,65%,2.5,7.5,31:15:00,8.1,423,430,-7.4,-230,-290
Seraphine,18,22,5%,10,8,56%,5.4,4.5,30:53:00,7.6,369,364,-5.3,-384,-217
Azir,20,16,5%,8,12,40%,3.4,7.7,32:56:00,8.8,594,391,2.5,52,-9
RekSai,22,14,5%,6,16,27%,1.9,3.9,31:07:00,5.3,308,339,-2.3,253,-92
Karthus,6,28,5%,4,2,67%,2.5,3.5,32:00:00,7.8,845,432,28.7,727,1044
Nidalee,8,26,5%,2,6,25%,2.6,2,33:56:00,6.5,488,361,18.6,148,604
Udyr,25,8,4%,10,15,40%,2.3,5.5,30:55:00,6.5,221,345,12.2,-91,230
Pyke,18,15,4%,9,9,50%,2.7,6,32:27:00,1.5,231,329,7.1,550,-66
Samira,21,7,4%,12,9,57%,3.1,8.3,29:38:00,8.5,531,452,0.8,226,140
Ziggs,14,12,3%,4,10,29%,3.1,4.6,31:28:00,8.6,570,390,-9.8,-550,-141
