Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Nami,82,5,13%,37,45,45%,4,5.8,33:02:00,0.5,196,245,-7.3,-151,-63
Olaf,31,55,13%,16,15,52%,2.8,5.8,31:35:00,8.2,513,406,18.8,787,542
Lillia,31,53,13%,14,17,45%,3.3,3.9,31:32:00,6.8,528,370,7.7,199,193
Leona,58,17,11%,25,33,43%,2,8.5,32:55:00,1.2,101,222,2,-75,-131
Veigar,32,39,11%,11,21,34%,2.3,6.4,32:16:00,8.4,456,387,-3.7,-352,-262
Draven,28,42,11%,15,13,54%,4,4.1,32:14:00,8.7,476,468,7.5,731,279
Jax,29,38,10%,15,14,52%,2.2,7.3,32:36:00,8.6,401,407,10.3,407,240
Galio,28,38,10%,14,14,50%,3.5,6.1,29:59:00,6.9,386,343,-16.6,-625,-327
Xayah,46,20,10%,23,23,50%,3.8,7.5,32:51:00,9.3,582,425,-0.1,-92,48
Gragas,46,18,10%,23,23,50%,2.8,6.6,32:58:00,6.8,428,352,-4.7,-84,108
Orianna,39,23,9%,15,24,38%,3.8,8.7,33:22:00,8.9,492,391,5,70,81
Jayce,27,29,8%,14,13,52%,2.8,7.8,32:12:00,8.9,685,424,11.4,600,321
Udyr,32,21,8%,11,21,34%,2.1,5.6,31:44:00,6.2,233,333,10.2,-64,268
Aatrox,38,13,8%,20,18,53%,2.5,8.1,31:14:00,8.4,482,394,6.2,171,192
Graves,29,19,7%,13,16,45%,2.9,5.5,32:50:00,7.2,433,387,12.1,510,506
Tristana,32,16,7%,20,12,63%,4.2,6,30:24:00,9.3,495,450,-2.7,260,-44
Pyke,23,25,7%,14,9,61%,2.9,5.7,33:07:00,1.6,173,266,7.8,5,26
Irelia,19,27,7%,11,8,58%,2.2,8.2,31:07:00,8.9,478,413,7.2,-1,-120
Diana,12,33,7%,5,7,42%,3.3,5.2,30:52:00,6.9,468,380,13.8,590,787
Sion,34,10,7%,15,19,44%,3.1,7.8,33:06:00,7.6,397,363,-3.3,-349,-122
Yasuo,20,21,6%,8,12,40%,2.4,5.9,30:55:00,8.8,359,408,-0.5,42,-158
Poppy,21,18,6%,12,9,57%,5,6.5,31:52:00,5.3,263,320,0.6,106,-2
Alistar,25,7,5%,12,13,48%,2.7,8.6,33:03:00,1,130,228,1.5,-29,-43
Darius,7,24,5%,3,4,43%,2.8,5.4,33:46:00,7.7,457,421,6.1,572,-213
Kindred,8,23,5%,4,4,50%,3.6,5.7,35:21:00,6.9,506,389,4.1,182,191
Ashe,22,6,4%,11,11,50%,3.7,7.8,32:25:00,5.1,429,328,-2.5,-197,-186
Kennen,13,15,4%,6,7,46%,2.2,8.9,33:18:00,7.6,575,397,0.7,346,124
Vladimir,13,15,4%,5,8,38%,3.4,8.1,32:15:00,8.1,620,397,11.2,120,522
Samira,15,13,4%,10,5,67%,5,6.2,32:15:00,8.6,492,453,-5,-231,-236
Jarvan IV,12,14,4%,7,5,58%,3.7,8.1,33:11:00,5,237,320,-0.5,132,122
Tryndamere,16,10,4%,8,8,50%,3.2,6.7,30:55:00,9,444,439,4.1,404,99
Rell,16,10,4%,9,7,56%,2.4,8,33:11:00,1.1,139,227,3.4,60,-116
Vi,14,9,3%,5,9,36%,2,7.1,31:43:00,5.3,266,322,-3.6,-353,-122
Miss Fortune,20,2,3%,9,11,45%,2.7,8.5,31:59:00,8.3,647,388,0.5,-229,-268
Bard,18,4,3%,7,11,39%,3.2,6.5,31:34:00,0.9,215,238,-4.1,-155,-117
Cassiopeia,11,10,3%,5,6,45%,2.5,8.4,30:40:00,8.6,655,409,3.3,-157,-246
Nidalee,6,14,3%,2,4,33%,2,2.1,29:12:00,5.9,409,343,4.8,-503,-211
Amumu,11,8,3%,2,9,18%,1.7,5.3,33:35:00,1.5,172,235,0.7,-444,-163
Karthus,4,15,3%,3,1,75%,4,2.7,31:05:00,7.7,969,447,28.5,768,1103
Zilean,10,9,3%,6,4,60%,6.8,6.8,30:56:00,3.1,234,267,-4.3,-388,251
KogMaw,10,7,3%,4,6,40%,3.3,7.4,33:58:00,9.3,770,416,-0.6,-506,-50
Nocturne,7,10,3%,1,6,14%,1.3,7.4,32:53:00,5.8,262,312,-13.2,-936,-790
Renekton,7,10,3%,4,3,57%,2.9,8.2,28:26:00,8.5,452,404,17.4,832,618
Ryze,13,4,3%,4,9,31%,3,9.3,31:03:00,8.9,479,387,5.4,166,-79
Sett,10,7,3%,3,7,30%,1.2,8,34:03:00,5.4,327,295,-10.5,-441,-397
Thresh,10,6,2%,5,5,50%,3.6,9.3,32:52:00,1,97,224,-1.4,13,-188
Mordekaiser,12,2,2%,3,9,25%,1.6,7.5,30:38:00,8.1,525,375,15,464,491
Sona,12,2,2%,4,8,33%,2.9,8.5,34:03:00,0.5,173,228,-7.3,-345,-292
Syndra,5,9,2%,1,4,20%,1.9,8.2,35:10:00,8.5,498,364,4.6,-279,142
Jhin,12,2,2%,4,8,33%,3.8,8.5,33:37:00,9.1,474,405,2.2,300,241
Kassadin,4,9,2%,1,3,25%,2.6,6.4,29:57:00,9.1,431,389,-7.5,-701,-349
Rengar,4,9,2%,1,3,25%,2.1,4.8,33:51:00,6.6,377,347,8,473,307
Xerath,5,8,2%,2,3,40%,4.3,8.1,32:33:00,8.9,750,421,1.2,747,408
Dr. Mundo,7,5,2%,3,4,43%,3.5,5.6,30:35:00,8.3,571,385,0.9,-557,97
Riven,3,9,2%,0,3,0%,0.5,5.2,26:22:00,6.9,249,305,-33,-1224,-1207
Rumble,4,8,2%,1,3,25%,2.4,4.8,32:34:00,7,516,382,9.8,347,27
Zac,7,5,2%,5,2,71%,3.7,2.2,32:36:00,6,303,335,-3,-52,61
Hecarim,5,6,2%,3,2,60%,3.7,7.7,34:09:00,5.8,276,326,5,-223,240
Shyvana,10,1,2%,6,4,60%,4.5,1,31:09:00,7.7,542,385,2.9,-289,52
Vex,6,5,2%,1,5,17%,2.5,7.6,33:24:00,7.5,489,344,-6,-32,-58
Urgot,6,4,2%,4,2,67%,4.3,4.8,32:43:00,8.2,407,402,-12.3,-386,-94
Akshan,4,6,2%,2,2,50%,2.8,5.3,28:35:00,8.9,366,420,0.5,314,125
VelKoz,2,7,1%,2,0,100%,25,5.6,29:52:00,9,822,478,-5.5,-152,522
KhaZix,6,2,1%,3,3,50%,3.9,8,30:42:00,5.6,399,329,0.5,-314,-32
Soraka,8,0,1%,4,4,50%,4.1,-,30:45:00,2.4,163,254,-17.4,-307,-450
Taric,5,3,1%,0,5,0%,1.4,8.3,30:09:00,1.3,82,211,7.8,-20,264
Varus,5,3,1%,2,3,40%,3.4,5.7,33:12:00,8.2,680,439,15.2,796,452
Ziggs,5,3,1%,4,1,80%,3.5,7.3,30:08:00,8.4,832,439,25.5,1412,1128
Anivia,1,6,1%,0,1,0%,0.6,6.3,30:40:00,7.2,595,315,-15,-6,-736
Nasus,3,4,1%,2,1,67%,3,9.5,27:59:00,8.1,378,386,7.5,-285,328
Shen,1,6,1%,0,1,0%,5,4.5,30:48:00,7.5,240,326,-48,-1240,-206
Singed,5,2,1%,2,3,40%,1.5,1,31:24:00,4.1,235,282,-20,-904,-587
Kayn,3,4,1%,1,2,33%,2.8,1.3,30:11:00,7.2,382,387,10.7,2,201
Malphite,4,2,1%,1,3,25%,3.7,8.5,31:50:00,7.2,410,338,-4.2,-624,58
RekSai,2,4,1%,2,0,100%,3.7,3.5,37:35:00,5.8,284,353,2,401,73
Ekko,1,5,1%,0,1,0%,1.3,7.8,27:54:00,9.7,502,418,-5,-407,138
Janna,3,2,1%,3,0,100%,12.7,7,27:05:00,0.4,136,261,-6,-264,-286
Maokai,4,1,1%,1,3,25%,1.7,10,30:20:00,4.7,272,279,-28.8,-1104,-330
Sivir,5,0,1%,3,2,60%,2.3,-,28:25:00,9.3,476,414,-15.4,-450,-526
Chogath,4,0,1%,1,3,25%,2.7,-,35:30:00,7.6,376,343,0.2,-159,-122
Vayne,3,1,1%,1,2,33%,3.4,9,32:47:00,8.3,492,416,1.3,-168,102
Aurelion Sol,1,3,1%,1,0,100%,15,1,28:05:00,7.3,475,397,-26,-79,-856
Annie,0,3,0%,,,,,3.7,0:00,,,,,,
Blitzcrank,3,0,0%,2,1,67%,3,-,29:22:00,1.1,128,229,16.7,351,-366
Skarner,3,0,0%,0,3,0%,2.4,-,40:38:00,4.9,197,288,7.3,-126,-157
Yorick,3,0,0%,0,3,0%,0.2,-,27:05:00,7.4,461,316,-16.7,-558,-162
Fiddlesticks,1,1,0%,0,1,0%,1.4,1,39:26:00,4.8,430,308,-28,-787,-902
Lux,1,1,0%,1,0,100%,11,10,24:02:00,8.4,676,432,21,729,76
Morgana,2,0,0%,1,1,50%,2.3,-,34:04:00,1.3,128,223,14,-144,256
Rammus,2,0,0%,1,1,50%,6.7,-,32:19:00,5.1,278,329,-16,-238,-906
Kled,0,2,0%,,,,,8.5,0:00,,,,,,
Qiyana,2,0,0%,1,1,50%,6,-,33:43:00,7.5,417,384,10,352,244
Brand,1,0,0%,0,1,0%,1,-,30:45:00,9.2,569,366,30,723,1246
Evelynn,1,0,0%,0,1,0%,1.3,-,33:44:00,4.7,505,326,-1,940,1267
Shaco,0,1,0%,,,,,1,0:00,,,,,,
Talon,1,0,0%,1,0,100%,6,-,30:30:00,7.7,187,393,43,1296,1428
Zed,1,0,0%,1,0,100%,4.7,-,39:10:00,7.8,535,501,27,1458,1023
Ivern,0,1,0%,,,,,3,0:00,,,,,,
Neeko,1,0,0%,1,0,100%,15,-,34:14:00,9,669,467,43,1949,1912
Caitlyn,0,0,0%,,,,,-,0:00,,,,,,
Elise,0,0,0%,,,,,-,0:00,,,,,,
Fizz,0,0,0%,,,,,-,0:00,,,,,,
Garen,0,0,0%,,,,,-,0:00,,,,,,
Heimerdinger,0,0,0%,,,,,-,0:00,,,,,,
Katarina,0,0,0%,,,,,-,0:00,,,,,,
Malzahar,0,0,0%,,,,,-,0:00,,,,,,
Master Yi,0,0,0%,,,,,-,0:00,,,,,,
Nunu,0,0,0%,,,,,-,0:00,,,,,,
Pantheon,0,0,0%,,,,,-,0:00,,,,,,
Quinn,0,0,0%,,,,,-,0:00,,,,,,
Teemo,0,0,0%,,,,,-,0:00,,,,,,
Warwick,0,0,0%,,,,,-,0:00,,,,,,
Zyra,0,0,0%,,,,,-,0:00,,,,,,
Illaoi,0,0,0%,,,,,-,0:00,,,,,,
Belveth,0,0,0%,,,,,-,0:00,,,,,,
Nilah,0,0,0%,,,,,-,0:00,,,,,,
