Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Wukong,299,328,94%,168,131,56%,3.6,4.1,32:38:00,5.3,320,337,-6.6,-106,-193
Zeri,195,407,91%,114,81,58%,5,3.8,32:15:00,9.2,637,443,3.8,65,53
Lucian,95,414,77%,50,45,53%,3.3,3.9,33:00:00,8.9,574,423,6.7,112,98
Viego,342,137,72%,166,176,49%,3.1,5.5,32:56:00,5.7,285,340,5.1,114,174
Gangplank,159,255,62%,82,77,52%,3.3,5.4,33:01:00,8.4,655,446,-1.3,201,-148
Senna,139,270,62%,69,70,50%,4.5,3.8,32:02:00,1.8,417,304,-0.2,586,362
Corki,200,206,61%,96,104,48%,4,5.2,32:57:00,9.5,780,446,4.6,188,24
Ahri,182,217,60%,96,86,53%,5.1,5.9,32:24:00,8.7,519,400,0.2,-18,44
Kalista,135,258,59%,65,70,48%,3.6,4,32:24:00,9.2,433,442,13.5,651,285
Gwen,145,246,59%,71,74,49%,2.3,5.5,32:16:00,8.3,486,392,-2,-305,-174
Renata Glasc,172,191,55%,91,81,53%,3.7,4.9,32:33:00,0.7,173,240,-5.1,41,13
Ezreal,239,99,51%,110,129,46%,3.4,4.9,32:35:00,9.1,710,426,0.3,-110,-25
Azir,181,153,50%,86,95,48%,3.4,6,33:01:00,9.2,637,421,4.2,166,196
Gnar,218,111,49%,116,102,53%,3.1,7.8,32:45:00,8.5,510,405,6.1,283,120
Nautilus,230,94,49%,108,122,47%,2.4,7.3,32:18:00,1.1,139,228,5.4,-89,-118
Yuumi,121,190,47%,75,46,62%,7.5,4.6,31:20:00,0.2,264,237,-12.3,-195,142
Ornn,156,99,38%,89,67,57%,3.8,7.3,32:19:00,7.1,369,342,-6.5,-357,-64
Volibear,139,94,35%,65,74,47%,3.1,5.4,31:44:00,5,274,313,-4.5,-149,-164
Lee Sin,121,87,31%,70,51,58%,3.5,4.9,32:26:00,5.6,271,335,0,85,14
Rakan,140,63,31%,73,67,52%,3.8,7.6,32:43:00,1.2,145,235,7.2,-60,-95
Fiora,53,149,30%,29,24,55%,3,5.7,30:51:00,8.4,489,409,5,78,-97
Taliyah,54,146,30%,33,21,61%,4.2,3.9,33:11:00,8,590,411,2.8,166,201
Sylas,84,108,29%,55,29,65%,3.5,6.8,31:55:00,8.3,478,398,-3.7,-29,41
Karma,73,118,29%,35,38,48%,3.4,5,32:45:00,1.8,280,254,-7.9,-124,-246
Tahm Kench,136,54,29%,64,72,47%,3,6.1,32:31:00,4.2,200,283,-9.4,-488,-237
Sejuani,124,63,28%,59,65,48%,3,7.6,32:25:00,7.1,399,343,-7,-133,-31
Kayle,72,111,28%,31,41,43%,2.8,7.3,33:41:00,9.3,496,425,-7.6,-370,-110
Viktor,86,66,23%,44,42,51%,3.2,7.4,32:25:00,9,723,410,0.9,-144,-62
Trundle,94,57,23%,33,61,35%,2.8,7.1,32:28:00,4.9,248,308,-8.7,-275,-362
LeBlanc,45,97,21%,19,26,42%,3.8,7.2,32:20:00,7.9,564,382,3.5,198,132
Lissandra,71,71,21%,36,35,51%,3.2,7,32:44:00,8.4,436,380,-2,-63,-7
Camille,67,74,21%,33,34,49%,2.4,8.2,31:23:00,7.8,430,388,-2.3,-109,6
Swain,67,71,21%,29,38,43%,3.2,6.7,31:30:00,7.6,539,359,-4.6,-348,-222
Aphelios,99,39,21%,55,44,56%,4,5.4,32:22:00,9.4,534,434,1.6,77,-19
Seraphine,65,59,19%,34,31,52%,4,4.8,31:17:00,7.5,390,354,-9.7,-507,-100
Twitch,81,42,18%,43,38,53%,3.5,5.4,32:32:00,8.3,577,413,-7,-38,-14
Yone,55,61,17%,34,21,62%,4,6.8,31:47:00,9.3,489,433,2,141,118
Jinx,96,19,17%,36,60,38%,3.2,7.5,32:18:00,9.5,570,430,0.2,-122,-197
Xin Zhao,89,22,17%,42,47,47%,2.5,7.3,31:43:00,5.6,311,330,1.9,-21,-54
Akali,45,63,16%,24,21,53%,4.9,6.7,33:19:00,8,613,413,-2.8,191,163
Braum,64,41,16%,30,34,47%,3.1,7.9,32:42:00,1,143,228,3,6,73
Twisted Fate,32,71,15%,18,14,56%,3.8,6.1,31:51:00,7.8,393,400,-12.9,106,-376
Lulu,52,47,15%,32,20,62%,6.2,6.2,32:08:00,0.5,133,237,-2.9,-31,-83
Kaisa,67,28,14%,28,39,42%,3.4,8.1,34:10:00,9.5,494,446,4.6,84,101
Zoe,37,51,13%,20,17,54%,3.8,6,33:47:00,7.9,557,373,-3.2,-45,-65
