Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Jayce,4,9,17%,3,1,75%,6.8,7.2,32:15:00,9.5,701,448,22.8,661,110
Braum,7,6,17%,1,6,14%,1.4,8.3,31:08:00,1.1,122,217,0,-282,-234
Akali,6,6,15%,6,0,100%,6.6,5.5,31:17:00,7.9,584,437,11,688,426
Tahm Kench,6,6,15%,3,3,50%,3.9,7.3,30:53:00,4.8,178,295,-28.2,-1002,-696
Yuumi,4,8,15%,2,2,50%,4.7,7.1,31:21:00,0.2,305,244,-11.8,362,184
Fiora,3,8,14%,1,2,33%,2.3,4.3,30:58:00,8.2,360,393,6.7,416,206
Sion,8,3,14%,5,3,63%,3.4,9,31:05:00,8.1,325,372,-2.5,-375,-86
Aphelios,4,7,14%,2,2,50%,1.9,4.7,31:13:00,9.2,544,409,11,-125,148
Vex,5,6,14%,3,2,60%,5,8,31:15:00,8,409,388,2,121,-65
Irelia,3,7,13%,2,1,67%,3.9,7.6,32:35:00,9.8,510,460,17.7,1130,692
Olaf,4,6,13%,3,1,75%,4.4,5.3,28:35:00,7.7,402,393,26,1134,573
Xin Zhao,9,1,13%,2,7,22%,1.4,10,31:23:00,5.6,283,319,3.7,-612,31
Aatrox,4,5,12%,2,2,50%,1,8.4,36:52:00,7.1,389,355,-2.2,-29,-34
Diana,3,6,12%,1,2,33%,1.7,3.2,27:31:00,7.5,355,398,20.3,971,974
Galio,4,5,12%,2,2,50%,4.6,3.6,25:46:00,7,288,354,-28.8,-600,-780
Twisted Fate,3,6,12%,2,1,67%,5.2,7.5,28:45:00,7.1,332,369,-25,-362,-1043
Nami,6,2,10%,4,2,67%,7.7,7.5,29:48:00,0.5,212,287,-12.7,683,452
Syndra,3,5,10%,2,1,67%,1.5,6.4,42:40:00,7.4,488,338,1.3,-21,-68
Trundle,3,5,10%,2,1,67%,8.3,3.6,28:45:00,5.1,190,333,-10.3,70,-127
Zoe,7,1,10%,3,4,43%,2.4,2,28:49:00,7.9,459,382,-3.6,-24,-29
Sett,6,2,10%,2,4,33%,1,8.5,32:03:00,5.6,223,309,-14.3,-692,-536
Karthus,3,4,9%,2,1,67%,1.6,4.3,35:53:00,8.1,901,424,10,-305,326
Lulu,4,3,9%,1,3,25%,1.7,4.7,29:55:00,0.7,117,216,3,-415,-186
Poppy,2,5,9%,2,0,100%,4.7,3.8,37:42:00,4.5,266,311,-9.5,-303,-4
Vladimir,6,1,9%,3,3,50%,2.9,6,34:07:00,7.8,513,366,2.2,243,127
Kalista,4,3,9%,3,1,75%,7.4,7.7,28:46:00,9.4,433,480,31.5,1901,836
Jhin,5,2,9%,2,3,40%,8.3,7.5,31:47:00,8.3,386,393,-5.4,-305,-270
Pyke,2,5,9%,0,2,0%,1,4.4,34:25:00,1.2,230,270,9,374,758
Sylas,3,4,9%,2,1,67%,3.8,7.8,33:54:00,7.7,512,414,9.7,862,393
Seraphine,1,6,9%,0,1,0%,1.5,5,29:27:00,9.3,284,348,8,-993,-83
Alistar,5,1,8%,1,4,20%,1.3,10,29:29:00,1,92,211,-1.4,-169,-133
Miss Fortune,3,3,8%,2,1,67%,3.5,7,29:47:00,8.4,604,385,0.3,135,260
Nocturne,5,1,8%,1,4,20%,1.9,3,31:07:00,5.9,254,337,-1.2,-317,-226
Renekton,3,3,8%,0,3,0%,1.1,7,32:38:00,8.1,359,360,-6.7,-248,104
Swain,4,2,8%,1,3,25%,2.4,5.5,32:22:00,7.5,410,353,1.8,90,38
Yasuo,1,5,8%,0,1,0%,2.3,5.6,31:33:00,8.1,261,396,-3,-1610,-623
Yone,3,3,8%,0,3,0%,1.3,8,32:23:00,8,468,379,-13.3,-1005,-482
Darius,2,3,6%,1,1,50%,2.2,6,30:09:00,8.3,413,404,9.5,167,-58
Gragas,5,0,6%,4,1,80%,6.4,-,31:00:00,7.9,506,367,3.6,43,100
Jarvan IV,4,1,6%,1,3,25%,2,9,31:53:00,4.5,233,311,-17.2,-745,-472
Kennen,4,1,6%,2,2,50%,1.6,10,30:19:00,7.8,517,377,-6.8,-566,-848
Tryndamere,0,5,6%,,,,,7.6,0:00,,,,,,
Azir,3,2,6%,1,2,33%,4.2,3.5,29:56:00,9.1,480,385,11.7,224,229
Kassadin,1,3,5%,0,1,0%,1.7,5.7,30:31:00,8.7,408,367,17,-571,351
Malphite,2,2,5%,0,2,0%,0.8,8.5,34:15:00,6.7,406,322,-34,-1523,-1492
Orianna,2,2,5%,1,1,50%,1.9,9,29:03:00,8.6,399,366,2,74,-246
Riven,2,2,5%,1,1,50%,2.4,7,33:24:00,8,195,381,-14,66,-150
Soraka,4,0,5%,2,2,50%,4.5,-,27:56:00,4.7,162,288,-24.2,-595,-79
Rell,3,1,5%,3,0,100%,3.9,8,32:23:00,1.2,105,250,12,302,-96
Zeri,3,1,5%,2,1,67%,4,9,32:11:00,9.1,563,420,-0.3,629,-258
Anivia,1,2,4%,1,0,100%,11.5,4,33:51:00,7.6,633,444,-24,78,-58
Caitlyn,2,1,4%,2,0,100%,3.2,8,33:53:00,9.6,388,423,0,190,-140
Thresh,2,1,4%,2,0,100%,9.3,9,30:38:00,1,108,253,0.5,249,658
Vi,3,0,4%,0,3,0%,0.9,-,33:27:00,5.5,191,317,-5,-410,-799
Ziggs,3,0,4%,1,2,33%,3.8,-,31:09:00,8.6,555,398,-11,-7,-457
Ivern,1,2,4%,1,0,100%,13,1.5,30:12:00,4.8,143,302,-13,-250,-219
Samira,2,1,4%,1,1,50%,5,7,31:07:00,7.9,597,417,7.5,1046,488
Blitzcrank,2,0,3%,1,1,50%,5.4,-,28:47:00,1.1,159,251,3,449,456
Cassiopeia,2,0,3%,2,0,100%,6.3,-,29:14:00,9.3,430,442,20.5,637,650
Chogath,1,1,3%,1,0,100%,3,9,36:13:00,7.4,349,353,-8,-516,-351
Corki,1,1,3%,1,0,100%,-,5,36:09:00,11.1,508,492,17,620,990
Kayle,0,2,3%,,,,,1.5,0:00,,,,,,
KhaZix,0,2,3%,,,,,1,0:00,,,,,,
Rengar,1,1,3%,1,0,100%,6.5,1,30:12:00,5.8,302,399,-18,1139,-339
Rumble,0,2,3%,,,,,7,0:00,,,,,,
Ryze,1,1,3%,0,1,0%,1.3,9,31:45:00,10,473,404,12,216,327
Udyr,2,0,3%,0,2,0%,2,-,30:32:00,6.5,126,319,7.5,-352,-458
Xerath,1,1,3%,1,0,100%,19,7,35:47:00,7,1118,468,-18,415,338
Zed,1,1,3%,1,0,100%,7.5,10,30:28:00,7.3,432,462,14,1267,955
Zilean,2,0,3%,1,1,50%,3.6,-,30:14:00,0.9,203,238,-1.5,-84,171
VelKoz,1,1,3%,0,1,0%,7,7,33:45:00,8.6,511,440,-12,267,47
Kled,0,2,3%,,,,,6.5,0:00,,,,,,
Kayn,1,1,3%,1,0,100%,6.5,5,30:24:00,7.7,368,411,-39,-164,-997
Qiyana,1,1,3%,1,0,100%,6,10,24:43:00,7,355,433,6,358,236
Akshan,0,2,3%,,,,,5.5,0:00,,,,,,
Annie,0,1,1%,,,,,1,0:00,,,,,,
Ashe,1,0,1%,1,0,100%,9,-,31:12:00,8.1,392,417,-4,-623,-95
Draven,1,0,1%,0,1,0%,0.4,-,31:29:00,7.3,185,304,-27,-2048,-861
Garen,1,0,1%,0,1,0%,0.3,-,30:21:00,10.3,179,454,1,-508,-778
Hecarim,0,1,1%,,,,,8,0:00,,,,,,
Heimerdinger,1,0,1%,0,1,0%,0.4,-,30:28:00,0.7,332,210,-22,-968,-603
Mordekaiser,0,1,1%,,,,,10,0:00,,,,,,
Morgana,1,0,1%,1,0,100%,13,-,31:33:00,1.4,94,255,21,701,277
Nasus,1,0,1%,0,1,0%,2.5,-,34:36:00,6.8,721,438,-17,-29,-385
Nidalee,1,0,1%,0,1,0%,1.2,-,32:49:00,6.1,484,346,13,188,407
Skarner,0,1,1%,,,,,10,0:00,,,,,,
Sona,1,0,1%,1,0,100%,7,-,34:42:00,0.3,203,264,-9,258,620
Taric,1,0,1%,1,0,100%,9.5,-,25:26:00,1.2,141,307,12,961,549
Urgot,1,0,1%,0,1,0%,0.5,-,29:27:00,10.1,246,375,0,-395,-278
Varus,1,0,1%,1,0,100%,-,-,24:39:00,8.1,344,469,20,2236,1260
Vayne,1,0,1%,0,1,0%,1.5,-,28:32:00,8.8,277,363,-2,501,-587
Bard,1,0,1%,0,1,0%,1,-,21:37,1.8,149,237,12,-733,-741
Kindred,1,0,1%,0,1,0%,1,-,30:24:00,7.6,332,390,25,-1464,112
Amumu,0,0,0%,,,,,-,0:00,,,,,,
Brand,0,0,0%,,,,,-,0:00,,,,,,
Dr. Mundo,0,0,0%,,,,,-,0:00,,,,,,
Elise,0,0,0%,,,,,-,0:00,,,,,,
Evelynn,0,0,0%,,,,,-,0:00,,,,,,
Fiddlesticks,0,0,0%,,,,,-,0:00,,,,,,
Fizz,0,0,0%,,,,,-,0:00,,,,,,
Janna,0,0,0%,,,,,-,0:00,,,,,,
Katarina,0,0,0%,,,,,-,0:00,,,,,,
KogMaw,0,0,0%,,,,,-,0:00,,,,,,
Lux,0,0,0%,,,,,-,0:00,,,,,,
Malzahar,0,0,0%,,,,,-,0:00,,,,,,
Maokai,0,0,0%,,,,,-,0:00,,,,,,
Master Yi,0,0,0%,,,,,-,0:00,,,,,,
Nunu,0,0,0%,,,,,-,0:00,,,,,,
Pantheon,0,0,0%,,,,,-,0:00,,,,,,
Quinn,0,0,0%,,,,,-,0:00,,,,,,
Rammus,0,0,0%,,,,,-,0:00,,,,,,
Sejuani,0,0,0%,,,,,-,0:00,,,,,,
Shaco,0,0,0%,,,,,-,0:00,,,,,,
Shen,0,0,0%,,,,,-,0:00,,,,,,
Shyvana,0,0,0%,,,,,-,0:00,,,,,,
Singed,0,0,0%,,,,,-,0:00,,,,,,
Sivir,0,0,0%,,,,,-,0:00,,,,,,
Talon,0,0,0%,,,,,-,0:00,,,,,,
Teemo,0,0,0%,,,,,-,0:00,,,,,,
Twitch,0,0,0%,,,,,-,0:00,,,,,,
Warwick,0,0,0%,,,,,-,0:00,,,,,,
Yorick,0,0,0%,,,,,-,0:00,,,,,,
Zac,0,0,0%,,,,,-,0:00,,,,,,
Zyra,0,0,0%,,,,,-,0:00,,,,,,
RekSai,0,0,0%,,,,,-,0:00,,,,,,
Ekko,0,0,0%,,,,,-,0:00,,,,,,
Illaoi,0,0,0%,,,,,-,0:00,,,,,,
Aurelion Sol,0,0,0%,,,,,-,0:00,,,,,,
Neeko,0,0,0%,,,,,-,0:00,,,,,,
Belveth,0,0,0%,,,,,-,0:00,,,,,,
Nilah,0,0,0%,,,,,-,0:00,,,,,,
