Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Gwen,22,54,97%,11,11,50%,2.1,4.1,29:55:00,8,427,399,0,-176,-52
Wukong,28,47,96%,18,10,64%,4.3,3.9,32:08:00,5.6,283,354,-10.8,-7,-297
Lucian,8,62,90%,4,4,50%,3.4,3.5,30:38:00,8.8,596,436,4.5,502,136
Taliyah,10,54,82%,6,4,60%,3.6,4.4,31:18:00,8.3,564,408,-2.6,343,-32
Viego,40,21,78%,20,20,50%,3.6,5.7,31:25:00,5.7,277,349,1.1,137,84
Ahri,34,22,72%,15,19,44%,3.5,5.6,31:07:00,8.4,447,398,0.5,102,38
Gangplank,28,25,68%,15,13,54%,3.3,4.6,32:07:00,8.5,603,448,0.3,221,42
Nautilus,37,15,67%,16,21,43%,2.1,7.7,32:07:00,1.1,128,226,4.5,-137,-54
Ezreal,35,8,55%,16,19,46%,4.2,6.3,31:05:00,8.9,630,412,-1.1,-244,-204
Xayah,22,18,51%,9,13,41%,4,4.2,32:32:00,9.4,501,438,3,92,254
Renata Glasc,12,27,50%,8,4,67%,4.1,6.6,31:51:00,0.7,146,249,-11,219,113
Rakan,25,12,47%,18,7,72%,6,8.5,31:03:00,1.2,139,250,8.8,-81,-149
Karma,14,21,45%,7,7,50%,4,4.5,31:53:00,3.3,254,275,-6.4,-157,-78
LeBlanc,9,21,38%,4,5,44%,3.7,5.3,33:30:00,7.9,548,401,14.9,432,587
Camille,8,22,38%,2,6,25%,1.6,7.5,29:01:00,7,373,376,-4.1,20,-267
Senna,16,14,38%,7,9,44%,3.2,5.9,31:06:00,1.4,330,290,-7.4,441,255
Gnar,23,6,37%,13,10,57%,2.8,8.5,30:33:00,8.1,436,391,1.9,-24,154
Kaisa,21,8,37%,11,10,52%,4,8.6,30:02:00,8.7,459,440,4.2,133,144
Ornn,15,13,36%,7,8,47%,3,7,32:51:00,6.6,357,326,-10.8,-560,-96
Veigar,14,10,31%,8,6,57%,4.2,4.9,29:53:00,8.6,394,409,5.5,81,313
Viktor,16,8,31%,8,8,50%,3.4,5,30:49:00,8.6,585,401,4.8,-87,175
Leona,13,10,29%,6,7,46%,2.5,8.7,31:26:00,1.1,122,234,1.7,-217,-56
Tristana,11,12,29%,4,7,36%,3.3,6.3,33:01:00,9.4,465,461,1.2,174,414
Lee Sin,15,7,28%,7,8,47%,4.2,6,31:06:00,5.6,275,340,-8.5,-90,-347
Graves,16,5,27%,8,8,50%,3.6,4.4,31:51:00,7.6,530,408,6.3,38,228
Jinx,18,3,27%,11,7,61%,4,8.3,31:07:00,9.6,503,446,-0.9,-58,-171
Lissandra,12,9,27%,6,6,50%,3,7.4,31:30:00,7.9,413,375,2.4,-260,-333
Lillia,9,11,26%,4,5,44%,2.8,3.7,30:15:00,6.6,381,342,19.6,169,614
Volibear,9,8,22%,4,5,44%,2.6,5.3,27:01:00,5.3,252,329,-2.9,-391,-351
Jax,4,11,19%,2,2,50%,3.7,5.2,30:15:00,8.1,317,390,-2,93,277
