Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Veigar,69,101,19%,39,30,57%,4.1,6.4,32:58:00,8.3,452,404,-3.8,-23,-65
Renekton,87,80,19%,41,46,47%,2.4,7.3,31:19:00,8.1,360,384,9.9,308,211
Thresh,75,75,17%,36,39,48%,2.8,6.2,33:18:00,1.1,110,232,1.2,-78,-131
Ornn,104,39,16%,39,65,38%,2.7,7.7,31:35:00,6.7,332,330,-12.6,-420,-215
Lucian,70,71,16%,38,32,54%,3.2,4,31:49:00,8.9,563,441,10.4,415,292
Gwen,70,70,16%,34,36,49%,2.6,6.9,31:50:00,8,523,388,-1.4,-216,-175
Diana,46,92,15%,19,27,41%,2.5,4.2,31:22:00,6.7,398,377,15.2,273,431
Sylas,53,83,15%,30,23,57%,3.4,7.1,30:42:00,7.6,479,404,-5.8,44,-80
Irelia,42,91,15%,25,17,60%,2.5,6.9,31:35:00,8.9,433,432,19.6,656,397
Jarvan IV,80,48,14%,45,35,56%,4.2,7.5,32:03:00,4.9,245,332,-3.9,-17,-113
Sion,93,30,14%,48,45,52%,3.3,7.9,32:09:00,7.3,356,353,-15.6,-559,-207
Gangplank,49,73,14%,31,18,63%,3.2,7.5,32:36:00,8.3,598,442,3.2,394,-7
Kennen,69,52,13%,39,30,57%,2.3,8.3,32:18:00,7.6,513,375,4.3,-5,3
Galio,45,75,13%,21,24,47%,3.4,5.1,31:34:00,6.5,365,345,-14.9,-363,-203
Malphite,47,70,13%,27,20,57%,3.1,8.6,31:05:00,6.7,404,346,-21.4,-935,-218
Yuumi,39,77,13%,18,21,46%,4.2,6.8,29:39:00,0.3,287,236,-13.9,-157,167
Aatrox,81,34,13%,47,34,58%,3,8.9,30:50:00,8.1,457,404,9.5,433,332
Alistar,78,37,13%,30,48,38%,2.2,8.3,33:17:00,1,114,222,-1.6,-197,-79
Corki,66,44,12%,30,36,45%,3.7,6.6,33:31:00,9.2,715,443,3.3,234,86
Ezreal,81,19,11%,29,52,36%,2.8,8.6,32:29:00,8.8,635,412,0.2,-159,-82
Braum,61,36,11%,31,30,51%,3.3,8.1,31:48:00,1.1,158,231,1.8,33,118
Zilean,33,54,10%,13,20,39%,4.4,5,31:28:00,3.7,205,276,1.6,-135,358
Zoe,29,57,10%,11,18,38%,3.8,5.5,32:45:00,8,498,375,-0.4,-126,-138
Miss Fortune,54,31,9%,25,29,46%,3.3,6.6,31:40:00,8.7,580,420,-0.1,0,41
Nocturne,45,37,9%,26,19,58%,3.6,5.9,32:27:00,5.9,279,345,4.1,205,179
Seraphine,41,34,8%,24,17,59%,4.1,3.9,31:32:00,4.7,303,316,-9.2,-203,-134
Sett,47,23,8%,23,24,49%,2.1,6.7,31:23:00,2.8,271,282,2.5,150,70
Jhin,55,13,8%,27,28,49%,4.5,6.5,31:46:00,8.6,496,418,-6.8,-470,-273
Azir,35,27,7%,16,19,46%,3.2,6.7,31:34:00,8.9,539,404,-2.7,-75,-67
Poppy,20,32,6%,11,9,55%,3.5,8.1,34:30:00,5.1,264,315,-4,-220,-247
Lulu,30,21,6%,14,16,47%,4.1,8.5,32:54:00,0.9,123,243,-8.4,11,99
Jax,21,29,6%,12,9,57%,2.4,8.7,32:27:00,8.1,453,417,1.7,76,172
Varus,31,15,5%,15,16,48%,3.4,7.6,32:21:00,8.3,595,407,2.4,121,58
Yasuo,16,30,5%,8,8,50%,2.5,7.1,31:31:00,8.5,382,427,1.1,43,-96
Akshan,11,34,5%,5,6,45%,2,5.7,31:11:00,7.5,467,399,6.5,217,106
Rumble,25,15,4%,14,11,56%,3.6,6.9,33:21:00,6.7,588,372,8,385,334
Ashe,26,10,4%,9,17,35%,4.1,6.3,31:54:00,8.3,461,399,-6.2,-170,-150
Fiora,21,15,4%,9,12,43%,2.3,8.1,31:30:00,8.1,512,405,2,24,30
RekSai,18,18,4%,7,11,39%,2.2,5.4,31:36:00,5.6,360,363,3.9,305,215
Karthus,11,24,4%,3,8,27%,1.9,2.4,29:50:00,7.7,835,418,6.6,-261,138
Samira,11,24,4%,5,6,45%,3.3,5.4,28:59:00,8.5,445,430,0.3,-218,-31
Rell,19,15,4%,8,11,42%,2.9,4.2,31:15:00,1.1,137,237,0.6,42,23
Evelynn,4,29,4%,3,1,75%,5.2,2.6,27:37:00,6.1,523,386,7,484,728
Yone,13,19,4%,6,7,46%,2.3,4.3,29:31:00,8.9,446,436,8.8,219,526
Nami,21,9,3%,13,8,62%,6.4,7.3,31:58:00,0.6,201,263,-11.7,296,191
Lux,21,6,3%,11,10,52%,3.3,8.5,31:37:00,1.2,340,267,-12.2,355,-117
Udyr,18,9,3%,7,11,39%,2.4,5.6,31:08:00,6.3,210,349,15.1,324,391
Tristana,19,7,3%,8,11,42%,3.7,8.3,30:20:00,9.3,412,446,-1.6,336,90
Lissandra,14,11,3%,9,5,64%,3,8.6,32:08:00,7.6,425,363,-0.7,-153,-227
Nidalee,8,15,3%,3,5,38%,3.8,4.7,29:53:00,6.3,378,359,13.6,144,519
Wukong,11,12,3%,4,7,36%,2.1,8.7,32:59:00,7.4,323,359,2.5,-176,139
Darius,4,18,2%,1,3,25%,2.2,7.7,37:33:00,7.1,403,391,8.2,1085,141
Kalista,9,13,2%,5,4,56%,4.9,5.4,37:04:00,8.9,506,470,12.8,670,279
Olaf,8,13,2%,6,2,75%,4.2,5.8,33:28:00,6.4,395,365,16,322,574
Pyke,13,8,2%,6,7,46%,2.3,5.9,34:09:00,1.4,198,280,2.8,269,-158
Dr. Mundo,9,10,2%,6,3,67%,3.2,8.2,33:01:00,7.8,506,359,-5.3,-368,-189
Urgot,14,5,2%,4,10,29%,1.7,8,33:05:00,8.1,388,384,4.2,44,-162
Draven,10,8,2%,5,5,50%,4.3,6.6,33:23:00,8.3,605,471,4.9,844,110
Ziggs,13,5,2%,6,7,46%,2.7,7.6,32:36:00,8.9,614,410,-10.1,-289,-153
Kindred,10,8,2%,8,2,80%,5.9,8.1,30:13:00,6.9,506,419,13.4,831,742
Cassiopeia,8,8,2%,3,5,38%,4.1,4.6,33:31:00,8.7,552,436,11,814,229
Twitch,7,9,2%,4,3,57%,3,3.2,36:11:00,7.9,704,434,-8.1,-100,74
VelKoz,4,12,2%,3,1,75%,5.4,5,30:47:00,6.8,622,408,-0.5,388,-212
Senna,14,2,2%,8,6,57%,3.6,4.5,31:01:00,1.8,439,323,-6.5,669,367
Shyvana,12,3,2%,3,9,25%,2.4,4.3,32:05:00,7.4,498,380,13.8,212,688
Vayne,13,2,2%,6,7,46%,2,8.5,30:18:00,8.1,536,413,-12.8,-748,-330
Shen,9,4,1%,5,4,56%,4.3,9,31:52:00,4.7,278,314,-11.9,-668,-181
Blitzcrank,7,5,1%,3,4,43%,2.3,8.4,30:56:00,1.1,178,238,2.9,-202,-66
Sejuani,11,1,1%,2,9,18%,0.9,7,29:36:00,6,334,314,-6.2,-746,-276
Kassadin,3,8,1%,1,2,33%,3.9,5.8,31:25:00,9.3,566,410,12.7,306,623
Bard,10,1,1%,6,4,60%,4.1,7,35:00:00,1.1,239,249,-5.6,-53,-23
Nasus,8,2,1%,3,5,38%,1.2,10,28:38:00,2.5,295,255,-13,-632,100
Soraka,6,4,1%,3,3,50%,3.7,5.3,31:08:00,3.1,122,264,-22.7,-792,-189
Xerath,4,6,1%,3,1,75%,10.6,6.5,29:12:00,7,820,448,2.2,576,327
Chogath,6,3,1%,5,1,83%,3.6,7.3,31:09:00,7.5,385,390,-0.5,156,161
Ekko,2,7,1%,1,1,50%,2.8,6.3,26:47:00,7.5,381,418,-3.5,338,-242
Mordekaiser,6,0,1%,3,3,50%,2.7,-,33:01:00,8.3,451,388,-1.2,172,56
Qiyana,2,4,1%,1,1,50%,1.7,1.5,30:24:00,5.9,505,356,-15.5,-553,-980
Annie,2,3,1%,1,1,50%,2.5,5.7,30:58:00,7.7,530,373,9.5,44,-180
KhaZix,5,0,1%,3,2,60%,2.7,-,33:40:00,5.6,490,378,1.6,259,145
Malzahar,4,1,1%,1,3,25%,1.6,8,29:22:00,7.7,447,356,-8.8,-471,98
Zed,4,1,1%,3,1,75%,4.8,7,33:50:00,7.8,524,444,40,1584,1441
KogMaw,4,0,0%,3,1,75%,4,-,30:09:00,8.1,554,407,2,-393,122
Riven,3,1,0%,1,2,33%,2,7,30:46:00,8.5,425,435,1.3,35,-286
Sona,4,0,0%,3,1,75%,6,-,30:28:00,0.6,116,260,2.8,876,418
Ivern,2,2,0%,1,1,50%,4.3,3,29:33:00,5.4,177,302,-12,-298,144
Lillia,3,1,0%,2,1,67%,4.6,5,32:13:00,7.2,480,374,28.7,1060,586
Singed,1,2,0%,1,0,100%,-,10,33:26:00,8.4,258,400,-4,532,-162
Taric,3,0,0%,1,2,33%,3.2,-,46:20:00,1,95,240,4.7,458,353
Vladimir,2,1,0%,0,2,0%,1,10,41:27:00,8,371,340,-19,-847,-468
Neeko,0,3,0%,,,,,1.3,0:00,,,,,,
Maokai,2,0,0%,1,1,50%,2.1,-,30:51:00,3.5,322,253,-21.5,-1792,-1238
Skarner,1,1,0%,0,1,0%,2.8,7,44:32:00,4.4,223,314,-13,426,-174
Yorick,2,0,0%,1,1,50%,2.5,-,26:27:00,8.5,319,433,-5.5,-241,198
Zac,2,0,0%,2,0,100%,6.8,-,28:05:00,1.5,261,302,4.5,-402,134
Kled,1,1,0%,1,0,100%,5,5,39:15:00,8.9,450,439,-13,-528,-729
Kayn,2,0,0%,1,1,50%,2.4,-,29:59:00,6.6,591,394,-14.5,-322,-713
Amumu,0,1,0%,,,,,6,0:00,,,,,,
Kayle,1,0,0%,0,1,0%,1.3,-,30:54:00,8.3,568,373,-,-,-
Morgana,1,0,0%,0,1,0%,2,-,33:26:00,0.7,293,236,-13,1022,648
Sivir,1,0,0%,1,0,100%,-,-,28:00:00,10.1,651,455,27,620,616
Talon,1,0,0%,1,0,100%,4.5,-,29:29:00,6.4,416,362,27,306,1057
Teemo,1,0,0%,0,1,0%,3.3,-,29:56:00,8.1,752,403,23,238,-82
Warwick,1,0,0%,1,0,100%,2.4,-,26:14:00,5.6,553,405,23,1880,1078
Illaoi,0,1,0%,,,,,3,0:00,,,,,,
Aurelion Sol,1,0,0%,0,1,0%,3.7,-,40:09:00,9.1,588,437,-39,-1019,-1362
Anivia,0,0,0%,,,,,-,0:00,,,,,,
Brand,0,0,0%,,,,,-,0:00,,,,,,
Elise,0,0,0%,,,,,-,0:00,,,,,,
Fiddlesticks,0,0,0%,,,,,-,0:00,,,,,,
Fizz,0,0,0%,,,,,-,0:00,,,,,,
Garen,0,0,0%,,,,,-,0:00,,,,,,
Heimerdinger,0,0,0%,,,,,-,0:00,,,,,,
Janna,0,0,0%,,,,,-,0:00,,,,,,
Katarina,0,0,0%,,,,,-,0:00,,,,,,
Master Yi,0,0,0%,,,,,-,0:00,,,,,,
Nunu,0,0,0%,,,,,-,0:00,,,,,,
Pantheon,0,0,0%,,,,,-,0:00,,,,,,
Quinn,0,0,0%,,,,,-,0:00,,,,,,
Rammus,0,0,0%,,,,,-,0:00,,,,,,
Rengar,0,0,0%,,,,,-,0:00,,,,,,
Shaco,0,0,0%,,,,,-,0:00,,,,,,
Swain,0,0,0%,,,,,-,0:00,,,,,,
Vi,0,0,0%,,,,,-,0:00,,,,,,
Zyra,0,0,0%,,,,,-,0:00,,,,,,
Taliyah,0,0,0%,,,,,-,0:00,,,,,,
Belveth,0,0,0%,,,,,-,0:00,,,,,,
Nilah,0,0,0%,,,,,-,0:00,,,,,,
