Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Zeri,220,569,88%,128,92,58%,5.1,3.7,31:37:00,9.5,558,454,0.7,135,119
Jinx,402,324,81%,192,210,48%,3.7,4.5,31:52:00,9.5,540,442,0.6,-7,-163
Ahri,359,341,78%,190,169,53%,4.6,4.8,32:06:00,8.3,484,398,0.8,36,101
Hecarim,246,429,75%,119,127,48%,3.5,4.1,31:34:00,5.8,296,348,3.2,36,119
Lee Sin,338,328,74%,170,168,50%,3.3,3.9,32:01:00,5.4,291,345,-3.1,-52,-62
Nautilus,458,188,72%,217,241,47%,2.3,6.8,31:59:00,1.1,141,232,1.7,-29,-14
Ryze,213,358,63%,90,123,42%,3.3,4.3,31:46:00,8.8,406,401,1.4,-56,-100
Volibear,272,298,63%,135,137,50%,3.1,4,31:29:00,5,273,323,-5.4,-198,-220
Viego,344,143,54%,172,172,50%,3.3,5.5,32:30:00,5.7,292,353,1.7,87,33
Xayah,314,168,53%,152,162,48%,3.8,5.4,32:23:00,9.1,603,426,-0.1,-99,108
Leona,325,155,53%,170,155,52%,2.4,7.1,32:15:00,1.2,110,233,1.6,-65,-133
Aphelios,335,139,53%,173,162,52%,3.7,4.4,32:32:00,9,538,437,-1,55,-6
Jayce,188,280,52%,95,93,51%,2.5,6.3,32:16:00,8.4,668,417,11.1,400,-86
LeBlanc,158,289,50%,80,78,51%,3.9,5.6,32:03:00,7.9,506,386,4,185,197
Gnar,256,156,46%,120,136,47%,2.5,7.7,32:19:00,7.8,458,384,0.5,13,76
Tryndamere,111,298,45%,56,55,50%,2.6,5.7,31:39:00,8.7,393,428,5.2,378,97
Camille,142,234,42%,70,72,49%,2.3,7.4,31:16:00,7.2,426,380,-6.3,-139,-104
Tahm Kench,166,160,36%,89,77,54%,2.9,6.3,32:38:00,1.1,162,233,3.5,0,74
Rakan,175,149,36%,93,82,53%,3.8,7.7,31:44:00,1.2,141,245,2.2,79,29
Akali,117,194,35%,62,55,53%,2.9,5.2,32:38:00,7.4,490,382,-5.3,-127,103
Viktor,167,123,32%,77,90,46%,3.3,6.4,32:41:00,8.7,653,405,2.8,-46,34
Renata Glasc,130,160,32%,72,58,55%,3.8,6.4,31:24:00,1,157,245,-3.1,20,109
Graves,154,121,31%,83,71,54%,2.8,4.4,32:07:00,8.3,504,414,9.1,295,268
Karma,82,193,31%,37,45,45%,3.2,3.9,31:32:00,2.8,267,272,-12.1,-114,-217
Twisted Fate,64,206,30%,36,28,56%,4.4,4.1,32:23:00,7.6,388,401,-9.4,92,-138
Xin Zhao,161,100,29%,74,87,46%,2.5,5.4,32:33:00,5.4,311,330,-1.3,-93,-82
Vex,109,141,28%,69,40,63%,3.9,7.1,31:42:00,7.7,491,383,-5.2,-193,-190
Caitlyn,46,192,26%,30,16,65%,5.3,3.5,32:19:00,9.1,516,450,8.3,514,69
Kaisa,133,93,25%,58,75,44%,3.7,5.3,31:45:00,8.7,640,423,-0.3,-146,-70
Syndra,81,121,22%,31,50,38%,2.7,6.3,32:04:00,8.2,498,384,4.2,108,-92
Trundle,98,77,19%,59,39,60%,3.9,5.4,32:41:00,4.8,225,324,-12.3,-346,-484
Orianna,109,64,19%,60,49,55%,5.1,7.4,32:02:00,8.8,476,408,8.1,84,188
Gragas,128,44,19%,61,67,48%,2.7,6.6,32:19:00,6.9,407,338,-10.7,-438,-104
