Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Ahri,30,47,100%,15,15,50%,4.6,4.3,29:41:00,8.3,464,399,4.8,140,264
Lucian,3,74,100%,3,0,100%,4.1,2.8,29:28:00,9.2,591,507,12,1092,478
Wukong,26,48,96%,17,9,65%,4.5,4,29:15:00,5.6,334,368,-9.4,22,-286
Gwen,42,25,87%,28,14,67%,3.3,4.7,29:58:00,8.3,480,423,5.6,222,207
LeBlanc,15,49,83%,10,5,67%,3.2,3.7,27:23:00,7.6,473,405,3.6,481,-41
Nautilus,33,22,71%,18,15,55%,2.4,6.6,30:15:00,1.4,125,239,-2.1,-296,-156
Viego,40,15,71%,13,27,33%,2.2,6.6,29:15:00,5.7,254,341,-2.6,-224,-161
Gangplank,20,29,64%,13,7,65%,3.9,6.7,28:35:00,8.4,589,449,4.2,560,174
Kalista,12,32,57%,7,5,58%,3,4.8,31:01:00,9.3,325,441,11.2,528,30
Ezreal,23,20,56%,11,12,48%,3.1,7.7,29:37:00,9,637,425,3.4,29,146
Twisted Fate,19,24,56%,8,11,42%,3.9,4.3,28:48:00,7.6,402,402,-3.2,615,-5
Leona,28,11,51%,11,17,39%,2.2,7.4,29:46:00,1.2,100,231,-0.1,-150,-128
Kaisa,24,15,51%,15,9,63%,4.4,7.2,29:32:00,9.5,496,477,-1,-10,87
Tristana,19,18,48%,9,10,47%,3.3,5.9,30:38:00,9.8,381,466,1.8,452,250
Lee Sin,24,12,47%,13,11,54%,3.6,6.5,29:01:00,5.8,306,363,0.5,273,182
Graves,20,14,44%,11,9,55%,3.6,4.4,29:15:00,7.8,387,420,7.7,281,209
Xayah,19,15,44%,13,6,68%,4.4,6.3,29:52:00,9.7,548,455,6.6,494,201
Rakan,12,18,39%,6,6,50%,3.6,8.1,31:11:00,1.2,129,241,1.7,50,-117
Galio,16,13,38%,9,7,56%,4.8,4.2,28:58:00,6.7,362,353,-17.8,-791,-229
Karma,6,19,32%,1,5,17%,1.7,5.5,24:43:00,0.7,285,246,-10.8,-330,-520
Renata Glasc,13,12,32%,7,6,54%,4.5,5.9,25:37:00,1.1,159,258,-2.4,-72,71
Ornn,14,8,29%,7,7,50%,3.4,7.5,29:53:00,7.1,329,336,-17.6,-875,-499
Senna,7,15,29%,5,2,71%,7.2,7.5,28:27:00,1.5,442,342,-3.6,1208,491
Vex,11,11,29%,3,8,27%,1.5,6.9,28:36:00,7.5,364,342,-9.4,-862,-803
Zoe,13,8,27%,7,6,54%,4.2,7.5,28:53:00,7.4,519,388,7,262,152
Nocturne,10,10,26%,5,5,50%,2.9,5.6,28:49:00,5.6,293,335,10,-202,269
Alistar,9,9,23%,2,7,22%,2.2,8.8,28:16:00,1,141,230,0.9,-417,-268
Diana,6,10,21%,3,3,50%,2.2,3.7,32:19:00,5.9,440,355,-5.7,-665,-114
Pyke,8,8,21%,6,2,75%,4.9,5.1,28:13:00,1.6,230,336,6.2,638,270
Jax,5,10,19%,5,0,100%,5.1,5.9,28:24:00,8.2,454,418,-6.6,253,354
Sylas,8,7,19%,6,2,75%,2.5,7.9,28:07:00,8,469,391,5.5,-456,-52
Vladimir,8,6,18%,2,6,25%,1.9,6,31:45:00,7.8,458,365,-12.2,-399,-327
Gnar,9,5,18%,5,4,56%,2.3,9.2,27:00:00,8.1,516,394,8.1,39,26
Camille,7,7,18%,4,3,57%,2.5,5.1,28:49:00,7,416,367,-3.4,-185,-88
Aphelios,12,2,18%,4,8,33%,2.7,9,28:05:00,9.3,374,429,-1.8,-111,-315
Aatrox,7,6,17%,3,4,43%,2,8,28:17:00,8.2,431,388,0.1,-51,-317
Tryndamere,7,6,17%,2,5,29%,1.5,9.3,31:22:00,8.1,379,394,0.6,-30,175
Jhin,12,1,17%,4,8,33%,3,3,26:22:00,8.6,327,406,-7.9,-654,-381
Samira,5,8,17%,1,4,20%,1.8,4.4,29:13:00,8.3,314,388,-15.8,-1465,-765
Caitlyn,2,10,16%,0,2,0%,1,3.5,28:42:00,9,441,380,13.5,214,176
Jayce,4,8,16%,1,3,25%,1.3,6.6,26:05:00,8.9,588,406,12.5,418,12
Kennen,8,4,16%,1,7,13%,1.4,8.5,31:18:00,8.1,519,380,8.8,313,103
Tahm Kench,6,6,16%,3,3,50%,3.4,7.8,32:54:00,2.7,174,263,3.3,-36,-152
Gragas,7,3,13%,5,2,71%,4,9.3,29:14:00,2.6,310,274,0,359,139
Volibear,4,6,13%,2,2,50%,2.3,6.8,33:09:00,4.7,214,298,0.8,-857,-323
Braum,7,2,12%,5,2,71%,5.6,8,29:59:00,1.2,173,251,-1,61,-70
Rell,7,2,12%,2,5,29%,2.3,5.5,33:53:00,1,117,224,-3.6,-56,-29
Jinx,5,3,10%,3,2,60%,6.2,6.3,32:34:00,10.3,497,470,5.4,567,232
Karthus,3,5,10%,0,3,0%,1.4,2.4,26:59:00,7.9,461,355,-5.7,-551,-72
Lissandra,8,0,10%,6,2,75%,4.1,-,30:32:00,7.9,459,391,1.6,5,96
Syndra,3,5,10%,2,1,67%,1.7,7.8,27:52:00,8.3,288,367,-4.7,-266,-995
Urgot,4,4,10%,0,4,0%,2.3,4.5,30:23:00,8.1,411,398,-6.2,-37,-14
Xin Zhao,4,4,10%,2,2,50%,3.5,8.5,34:34:00,5.8,325,349,-2.2,480,139
Akali,5,2,9%,1,4,20%,1.9,8.5,25:11:00,6.8,426,345,-25.2,-941,-260
Irelia,4,3,9%,3,1,75%,1.9,9,28:16:00,9,495,423,18.8,398,402
Yasuo,3,4,9%,2,1,67%,4.4,4.8,37:40:00,8.6,459,441,7,-460,-27
Jarvan IV,6,0,8%,2,4,33%,2.6,-,27:12:00,5.5,271,346,-2.3,-256,-505
Miss Fortune,5,1,8%,0,5,0%,1.7,8,28:58:00,9.2,501,412,0,-645,-104
Poppy,3,3,8%,1,2,33%,2.5,6.3,31:38:00,5.8,320,335,2.3,-564,-361
Yuumi,2,4,8%,0,2,0%,1.2,8.3,26:15:00,0.2,218,197,-10.5,-930,178
Zeri,4,2,8%,3,1,75%,5.7,3,26:41:00,9.5,416,433,18.2,509,523
Rumble,4,1,6%,2,2,50%,2.4,10,23:29,5.8,499,360,5.2,364,302
Sion,5,0,6%,3,2,60%,6.5,-,25:47:00,7.3,331,364,-13.6,-32,71
