Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Vi,2,3,6%,2,0,100%,9,7,24:29:00,6.3,394,414,6.5,854,514
Evelynn,2,2,5%,1,1,50%,3.5,4,23:51,6.8,296,368,12.5,-18,1230
Mordekaiser,2,2,5%,1,1,50%,2.4,9,31:07:00,7.9,526,380,5,-58,118
Ryze,2,2,5%,0,2,0%,1.7,8,32:42:00,7.2,188,332,-8,-926,-360
Bard,4,0,5%,3,1,75%,9.5,-,23:48,1.3,250,255,-2.8,-217,798
Sett,3,1,5%,2,1,67%,1.6,10,31:41:00,2.7,238,260,-17.3,-229,36
Yone,3,1,5%,2,1,67%,3.3,8,27:32:00,8.7,449,419,-3.7,-243,8
Trundle,1,2,4%,1,0,100%,3.3,2.5,28:29:00,4.4,233,332,-46,-1311,-960
Viktor,3,0,4%,1,2,33%,1.6,-,30:43:00,8.3,492,370,-0.7,37,252
Anivia,2,0,3%,1,1,50%,3,-,28:46:00,8.2,346,403,9.5,866,474
Corki,2,0,3%,0,2,0%,0.7,-,30:32:00,10,424,418,9,-366,56
Draven,0,2,3%,,,,,9.5,0:00,,,,,,
Kayle,1,1,3%,0,1,0%,0.5,9,23:40,9,251,346,-12,-548,-575
Nami,2,0,3%,2,0,100%,12,-,30:56:00,0.4,284,303,-10.5,200,-60
Renekton,1,1,3%,0,1,0%,0.3,9,23:10,9,426,323,1,-1467,-1156
Shen,2,0,3%,2,0,100%,13.5,-,26:04:00,1.3,187,299,2,896,754
Taric,2,0,3%,0,2,0%,1.2,-,27:43:00,1.6,86,224,11.5,-628,-26
Vayne,2,0,3%,0,2,0%,0.3,-,23:54,8.5,194,331,11.5,-573,-122
Veigar,2,0,3%,0,2,0%,1.8,-,36:34:00,7.9,481,388,6.5,-267,175
Zed,1,1,3%,0,1,0%,1,7,24:31:00,8.5,386,362,3,-1338,144
Kindred,2,0,3%,2,0,100%,8.3,-,20:42,7.9,518,508,30.5,2180,1892
Ashe,1,0,1%,0,1,0%,0.2,-,21:54,7.3,308,302,-37,-2457,-1333
Darius,1,0,1%,0,1,0%,0.4,-,29:37:00,7,417,307,7,-906,-462
Fiora,1,0,1%,1,0,100%,2,-,26:14:00,7.2,445,365,6,-397,-138
Garen,1,0,1%,0,1,0%,0.8,-,25:26:00,7.2,555,361,-11,-370,155
Malzahar,1,0,1%,0,1,0%,1.7,-,35:36:00,8.8,397,363,-11,-1580,-299
Morgana,1,0,1%,0,1,0%,1,-,33:13:00,0.8,186,214,-9,210,254
Nidalee,1,0,1%,1,0,100%,9.5,-,26:13:00,6.3,753,447,16,1266,474
Orianna,1,0,1%,0,1,0%,0,-,28:01:00,9.1,240,337,-4,-240,-701
Riven,1,0,1%,0,1,0%,1.5,-,26:51:00,9.1,266,369,12,371,-63
Sejuani,1,0,1%,1,0,100%,14,-,24:10:00,6,354,427,-3,1282,27
Ziggs,1,0,1%,1,0,100%,3.7,-,20:39,8.7,612,473,-2,1011,721
Azir,1,0,1%,0,1,0%,1.7,-,33:13:00,8.4,370,352,36,1095,680
VelKoz,1,0,1%,0,1,0%,2.7,-,36:52:00,5.9,780,401,-7,-1235,100
Ekko,0,1,1%,,,,,10,0:00,,,,,,
Lillia,1,0,1%,0,1,0%,3,-,34:50:00,8.9,446,404,46,-141,1216
Amumu,0,0,0%,,,,,-,0:00,,,,,,
Annie,0,0,0%,,,,,-,0:00,,,,,,
Blitzcrank,0,0,0%,,,,,-,0:00,,,,,,
Brand,0,0,0%,,,,,-,0:00,,,,,,
Cassiopeia,0,0,0%,,,,,-,0:00,,,,,,
Chogath,0,0,0%,,,,,-,0:00,,,,,,
Dr. Mundo,0,0,0%,,,,,-,0:00,,,,,,
Elise,0,0,0%,,,,,-,0:00,,,,,,
Fiddlesticks,0,0,0%,,,,,-,0:00,,,,,,
Fizz,0,0,0%,,,,,-,0:00,,,,,,
Hecarim,0,0,0%,,,,,-,0:00,,,,,,
Heimerdinger,0,0,0%,,,,,-,0:00,,,,,,
Janna,0,0,0%,,,,,-,0:00,,,,,,
Kassadin,0,0,0%,,,,,-,0:00,,,,,,
Katarina,0,0,0%,,,,,-,0:00,,,,,,
KhaZix,0,0,0%,,,,,-,0:00,,,,,,
KogMaw,0,0,0%,,,,,-,0:00,,,,,,
Lulu,0,0,0%,,,,,-,0:00,,,,,,
Lux,0,0,0%,,,,,-,0:00,,,,,,
Malphite,0,0,0%,,,,,-,0:00,,,,,,
Maokai,0,0,0%,,,,,-,0:00,,,,,,
Master Yi,0,0,0%,,,,,-,0:00,,,,,,
Nasus,0,0,0%,,,,,-,0:00,,,,,,
Nunu,0,0,0%,,,,,-,0:00,,,,,,
Olaf,0,0,0%,,,,,-,0:00,,,,,,
Pantheon,0,0,0%,,,,,-,0:00,,,,,,
Quinn,0,0,0%,,,,,-,0:00,,,,,,
Rammus,0,0,0%,,,,,-,0:00,,,,,,
Rengar,0,0,0%,,,,,-,0:00,,,,,,
Shaco,0,0,0%,,,,,-,0:00,,,,,,
Shyvana,0,0,0%,,,,,-,0:00,,,,,,
Singed,0,0,0%,,,,,-,0:00,,,,,,
Sivir,0,0,0%,,,,,-,0:00,,,,,,
Skarner,0,0,0%,,,,,-,0:00,,,,,,
Sona,0,0,0%,,,,,-,0:00,,,,,,
Soraka,0,0,0%,,,,,-,0:00,,,,,,
Swain,0,0,0%,,,,,-,0:00,,,,,,
Talon,0,0,0%,,,,,-,0:00,,,,,,
Teemo,0,0,0%,,,,,-,0:00,,,,,,
Thresh,0,0,0%,,,,,-,0:00,,,,,,
Twitch,0,0,0%,,,,,-,0:00,,,,,,
Udyr,0,0,0%,,,,,-,0:00,,,,,,
Varus,0,0,0%,,,,,-,0:00,,,,,,
Warwick,0,0,0%,,,,,-,0:00,,,,,,
Xerath,0,0,0%,,,,,-,0:00,,,,,,
Yorick,0,0,0%,,,,,-,0:00,,,,,,
Zac,0,0,0%,,,,,-,0:00,,,,,,
Zilean,0,0,0%,,,,,-,0:00,,,,,,
Zyra,0,0,0%,,,,,-,0:00,,,,,,
RekSai,0,0,0%,,,,,-,0:00,,,,,,
Illaoi,0,0,0%,,,,,-,0:00,,,,,,
Aurelion Sol,0,0,0%,,,,,-,0:00,,,,,,
Taliyah,0,0,0%,,,,,-,0:00,,,,,,
Kled,0,0,0%,,,,,-,0:00,,,,,,
Ivern,0,0,0%,,,,,-,0:00,,,,,,
Kayn,0,0,0%,,,,,-,0:00,,,,,,
Neeko,0,0,0%,,,,,-,0:00,,,,,,
Qiyana,0,0,0%,,,,,-,0:00,,,,,,
Seraphine,0,0,0%,,,,,-,0:00,,,,,,
Akshan,0,0,0%,,,,,-,0:00,,,,,,
Belveth,0,0,0%,,,,,-,0:00,,,,,,
Nilah,0,0,0%,,,,,-,0:00,,,,,,
