Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Wukong,199,217,97%,116,83,58%,3.5,4.3,33:31:00,5.4,310,339,-8.7,-203,-315
Gwen,101,312,96%,53,48,52%,2.7,3.8,31:39:00,8.2,454,397,-3.6,-91,-105
Taliyah,84,281,85%,48,36,57%,4.1,3.6,32:21:00,8.1,595,413,5.4,199,334
Viego,231,97,77%,106,125,46%,3.1,5.3,32:32:00,5.8,264,341,2.2,35,70
Lucian,93,225,74%,55,38,59%,3.9,4,32:46:00,8.8,552,424,10.2,291,42
Senna,101,197,70%,53,48,52%,4.3,3.4,32:37:00,1.7,432,304,0.6,668,420
Gangplank,106,158,62%,57,49,54%,3.5,5.5,33:50:00,8.7,667,455,-1.5,269,-99
Ahri,131,130,61%,68,63,52%,5,6.1,33:06:00,8.5,494,390,-1.8,-63,-34
Karma,101,133,55%,46,55,46%,3.3,4.8,33:08:00,2.5,275,263,-9.3,-165,-218
Renata Glasc,108,115,52%,62,46,57%,4.4,5.6,32:04:00,0.7,163,240,-2.6,-87,-50
Ezreal,162,51,50%,72,90,44%,3.6,6.1,33:16:00,9.1,711,422,3.7,11,6
Nautilus,140,60,47%,76,64,54%,2.7,7.3,32:21:00,1.2,137,233,3,-108,-160
Lillia,70,130,47%,26,44,37%,2.5,3.8,31:37:00,6.8,463,353,7.2,22,233
Kalista,72,97,39%,40,32,56%,4,3.8,31:46:00,9.2,441,443,6.4,393,194
Azir,88,62,35%,48,40,55%,3.5,7,32:28:00,9.2,626,416,8.8,279,331
Lulu,64,85,35%,28,36,44%,3.9,4.6,32:49:00,0.6,102,222,-0.6,-268,-40
Gnar,100,46,34%,51,49,51%,2.7,8.3,33:30:00,8.3,455,396,4.5,160,143
Ornn,85,51,32%,41,44,48%,3.3,7.5,31:37:00,7.1,330,335,-8.4,-467,-55
Viktor,83,51,31%,32,51,39%,2.7,7.4,32:55:00,8.8,671,400,0.2,-175,-28
Olaf,58,68,29%,33,25,57%,3,5.8,34:05:00,8,475,400,8.3,217,117
Camille,46,63,25%,19,27,41%,2.1,7.3,32:26:00,7.4,429,373,-4.4,-356,-6
Lissandra,48,60,25%,25,23,52%,3.6,7.1,32:07:00,8.5,449,384,0.9,-58,-46
Kayle,42,59,24%,25,17,60%,3.2,7.2,32:25:00,9.4,521,440,2.2,-50,163
Swain,54,47,24%,31,23,57%,3.6,6,32:56:00,7.5,509,362,0.1,48,-15
Jinx,78,17,22%,37,41,47%,4.1,7.1,32:14:00,9.2,558,429,-0.5,-214,-277
LeBlanc,26,68,22%,14,12,54%,4.6,6.8,33:31:00,8.1,585,391,3.8,383,61
Fiora,34,56,21%,15,19,44%,2.6,5,31:06:00,8.5,490,414,12.6,737,324
Veigar,38,50,21%,21,17,55%,3.8,7.2,34:00:00,8.6,480,404,4.6,96,170
Tahm Kench,72,16,21%,37,35,51%,3,7.9,32:37:00,4.5,186,286,-8.4,-213,-242
Lee Sin,59,28,20%,30,29,51%,3.6,6.1,32:26:00,5.4,261,335,-2.9,77,-69
Nami,76,9,20%,47,29,62%,5,7.3,32:43:00,0.5,202,254,-9,-17,34
KogMaw,42,39,19%,18,24,43%,3.3,5.5,33:15:00,8.9,612,405,-8,-432,-254
Rakan,54,27,19%,28,26,52%,3.5,9,32:07:00,1.2,130,234,5.3,-86,-72
Xayah,53,25,18%,25,28,47%,3.8,7.5,33:03:00,9.3,537,428,3.1,92,152
Kaisa,55,20,18%,29,26,53%,4.6,7.4,32:31:00,9.3,448,451,-2.3,-46,2
Aatrox,42,30,17%,21,21,50%,2.7,7.3,31:25:00,7.9,459,379,0.9,-7,140
Yuumi,27,45,17%,10,17,37%,4,7.2,33:44:00,0.2,251,218,-8.2,-159,91
Seraphine,35,35,16%,17,18,49%,4.3,6.5,32:45:00,7.3,333,352,3.2,-191,53
Twitch,38,29,16%,17,21,45%,3.2,5.8,31:51:00,8.2,524,387,-4.5,-92,18
Graves,36,30,15%,14,22,39%,2.7,4.7,32:26:00,7.6,472,397,5.1,264,246
Aphelios,52,14,15%,32,20,62%,3.9,6.5,33:15:00,9.3,519,427,3,115,138
Galio,29,36,15%,12,17,41%,4.4,7.3,31:56:00,6.6,377,343,-17.3,-386,-384
Akali,26,38,15%,16,10,62%,2.7,6.2,32:34:00,7.7,492,388,0.7,134,159
Twisted Fate,16,47,15%,9,7,56%,5.4,5.7,31:14:00,8.2,411,421,1.8,685,346
Zoe,26,34,14%,11,15,42%,2.8,6.3,31:42:00,7.7,529,357,-5.6,-181,-398
Sylas,32,28,14%,17,15,53%,3.5,8,32:08:00,7.9,455,383,-6.3,-235,-106
Braum,44,15,14%,20,24,45%,3.1,7.8,33:14:00,1.1,155,227,4.4,62,334
Jax,14,44,14%,9,5,64%,2.6,7.4,33:38:00,7.9,412,391,3.3,641,57
Corki,32,24,13%,15,17,47%,3.4,6.3,33:19:00,9.5,769,439,3,217,-60
Trundle,37,19,13%,20,17,54%,3.7,6.1,32:31:00,4.9,269,321,-9.9,-201,-165
Sion,39,16,13%,17,22,44%,2.3,8.4,32:34:00,7.5,322,347,-8.8,-482,-100
Leona,33,21,13%,13,20,39%,2.2,8.6,33:43:00,1.1,104,224,3.9,-236,-328
Volibear,35,19,13%,13,22,37%,2.7,7.5,30:50:00,5.1,271,311,-4.9,-212,-210
Tristana,39,14,12%,17,22,44%,2.8,7.4,32:05:00,9,443,427,2.1,329,-123
Yone,24,27,12%,8,16,33%,2.1,7.5,32:08:00,8.5,434,390,-8.6,-254,-233
Jayce,27,21,11%,16,11,59%,3,8.2,30:44:00,8.8,695,421,4.5,234,-216
Diana,21,24,11%,12,9,57%,3.8,4.8,29:22:00,7,486,393,10.1,278,445
Vladimir,23,22,11%,13,10,57%,3.7,8,33:35:00,8.5,575,402,9.7,279,409
Orianna,34,10,10%,19,15,56%,6.1,8.5,33:23:00,9.2,525,409,6.5,246,92
Sejuani,31,11,10%,10,21,32%,2.6,8.4,34:19:00,7.2,358,348,-10.9,-516,-333
