Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Kindred,18,23,10%,9,9,50%,2.7,4.4,36:03:00,7,404,371,9,288,108
Nocturne,27,10,9%,12,15,44%,2.5,8.2,32:08:00,5.9,289,334,1.6,-46,8
Ashe,27,9,8%,14,13,52%,4.3,7.6,31:44:00,6.4,455,358,-1,156,118
Pyke,15,20,8%,9,6,60%,3.3,6.6,31:41:00,1.5,211,280,7.1,274,69
Irelia,6,25,7%,3,3,50%,2.1,6.5,32:43:00,9.1,449,413,21.5,506,127
Karthus,13,18,7%,9,4,69%,2.9,2.9,33:50:00,7.5,830,419,15.7,411,594
Jarvan IV,14,16,7%,8,6,57%,3.8,7.9,32:24:00,4.6,243,313,-6.1,57,-145
Sett,22,8,7%,10,12,45%,1.7,9,31:09:00,5.4,333,325,-8.8,-420,-355
Yasuo,13,16,7%,9,4,69%,2.8,6.1,33:25:00,8.8,352,410,4.2,-165,-61
Jhin,23,6,7%,10,13,43%,5.5,8.5,32:44:00,8.6,408,402,-3.4,50,111
Rell,19,7,6%,9,10,47%,2,6.9,31:20:00,1.1,127,225,1.1,-423,-292
Draven,9,16,6%,2,7,22%,2.4,4.9,30:20:00,8.9,437,451,8.7,1304,386
Alistar,18,4,5%,6,12,33%,2.1,8.5,32:15:00,1.1,116,225,5.9,-180,-208
Darius,8,13,5%,6,2,75%,3,6.2,31:04:00,8.1,456,432,14.5,736,68
Kennen,13,8,5%,4,9,31%,1.8,8.3,30:13:00,7.8,597,371,12,262,513
Syndra,8,13,5%,5,3,63%,3.3,8.2,31:17:00,8.5,560,379,3.4,-54,320
Nidalee,2,16,4%,1,1,50%,6.3,2.8,34:03:00,7.1,374,395,12,876,744
Vi,11,7,4%,4,7,36%,1.6,7.9,32:10:00,5.3,244,313,-7.8,-740,-346
Bard,9,9,4%,5,4,56%,4.1,7.4,33:58:00,1,216,247,-3.1,-219,-29
Renekton,9,8,4%,5,4,56%,2.6,9,36:38:00,8.4,443,407,20.8,626,27
Varus,14,3,4%,6,8,43%,2.8,7.7,31:33:00,8.8,527,407,8.6,41,162
Samira,5,12,4%,3,2,60%,5.1,5.8,28:40:00,8.8,523,474,-2.2,-2,161
Riven,6,10,4%,3,3,50%,2.8,5.9,34:22:00,8.3,424,431,19,1406,781
Zilean,10,6,4%,3,7,30%,2.9,7,35:05:00,2.6,175,245,-6.5,-300,170
Xin Zhao,9,6,4%,2,7,22%,1.5,6,36:09:00,5.1,247,285,-1.9,-357,-190
Anivia,5,9,3%,3,2,60%,4.8,8.3,29:46:00,8.6,394,374,0.2,210,87
Gragas,9,5,3%,3,6,33%,2,7,34:35:00,5.3,357,306,-8.3,-368,-61
Akshan,4,10,3%,1,3,25%,0.9,6.7,33:20:00,7.3,462,365,-8.5,-137,-706
Vex,7,6,3%,1,6,14%,1.8,7.3,33:15:00,7.8,440,361,2.6,112,-77
Urgot,3,9,3%,1,2,33%,2.6,3.9,31:44:00,8.6,382,385,16.7,422,526
VelKoz,6,6,3%,2,4,33%,5,5.8,35:44:00,8,766,371,1.3,-59,162
Zeri,6,6,3%,2,4,33%,6.3,7.3,35:01:00,9.3,570,421,0.3,237,139
Mordekaiser,8,3,3%,5,3,63%,2.2,6.3,29:15:00,7.5,511,374,15,464,225
Thresh,9,2,3%,5,4,56%,2.6,7,31:27:00,1.2,105,234,0.8,179,246
Tryndamere,5,6,3%,2,3,40%,1.6,7.5,29:36:00,8,429,390,-14.6,-605,-768
Xerath,7,4,3%,1,6,14%,2.1,9,31:58:00,7.7,791,381,-10.4,-517,-210
Hecarim,9,1,2%,5,4,56%,2.8,4,30:56:00,6,368,361,10.9,402,611
Kassadin,4,6,2%,1,3,25%,2,3.5,33:28:00,8.7,450,390,-8.5,-855,-434
Poppy,4,6,2%,4,0,100%,8,6.3,31:27:00,6.7,306,370,-2.3,190,166
Kayn,5,5,2%,2,3,40%,1.8,3.4,29:49:00,6.9,419,367,2.4,66,9
KhaZix,5,4,2%,3,2,60%,5.1,1.3,32:07:00,6.1,399,363,-10.3,-444,-863
Miss Fortune,6,3,2%,5,1,83%,4.8,9.3,35:27:00,8.9,682,434,21.2,738,318
Rengar,3,6,2%,2,1,67%,3.1,3.8,29:34:00,6.4,524,400,19,385,788
Rumble,4,5,2%,3,1,75%,4.7,8.8,30:34:00,8.3,601,420,10.2,925,666
Soraka,7,2,2%,1,6,14%,2.4,8.5,32:10:00,2.2,132,240,-5.6,-229,377
Zac,4,5,2%,2,2,50%,4.4,4.2,32:28:00,5.2,273,310,-8.5,-207,-53
Ziggs,8,1,2%,2,6,25%,2.5,9,33:59:00,9,790,406,-7.4,255,125
RekSai,3,6,2%,2,1,67%,3,4,39:03:00,5.3,344,333,-8.5,-456,-830
Blitzcrank,4,4,2%,2,2,50%,2.9,6.8,27:54:00,1.1,162,239,14.8,251,22
Janna,5,3,2%,3,2,60%,4.6,5,30:44:00,0.6,104,246,-2.4,-4,-317
Malphite,5,3,2%,3,2,60%,4.3,9.7,31:31:00,6.9,430,331,-12.4,-519,205
Cassiopeia,2,5,2%,1,1,50%,5,7.2,29:54:00,8.9,612,446,13,1069,462
Ekko,4,3,2%,1,3,25%,1.5,3.7,30:24:00,8.9,408,416,-2.5,8,-55
Ivern,1,6,2%,0,1,0%,1.8,3.3,30:57:00,4.9,205,260,-16,-57,-567
Chogath,5,1,1%,3,2,60%,3.7,8,33:48:00,7.2,337,366,-2.6,180,228
Maokai,4,1,1%,1,3,25%,2.2,8,34:29:00,1.6,502,237,-22.5,-550,-600
Shen,0,5,1%,,,,,3.4,0:00,,,,,,
Vayne,3,2,1%,2,1,67%,5,9.5,26:55:00,9,631,459,-4.3,-499,925
Fiddlesticks,1,3,1%,0,1,0%,0.5,2.7,33:40:00,5,210,257,-24,-900,-1132
Shyvana,4,0,1%,2,2,50%,3.1,-,33:59:00,7,592,376,-5,-582,98
Sivir,3,1,1%,1,2,33%,2.7,9,28:25:00,10.4,435,423,-20.7,-1899,-834
Udyr,4,0,1%,2,2,50%,1.8,-,30:46:00,5.9,183,330,-1.5,148,-74
Aurelion Sol,0,4,1%,,,,,2.5,0:00,,,,,,
Annie,2,1,1%,2,0,100%,14,7,30:37:00,7.7,613,379,1.5,108,152
Caitlyn,1,2,1%,0,1,0%,2,5.5,36:40:00,9.6,417,392,22,298,281
Dr. Mundo,2,1,1%,0,2,0%,2.3,8,32:42:00,7.1,670,369,-12.5,-196,-278
Morgana,3,0,1%,1,2,33%,0.8,-,31:29:00,0.9,177,227,-7.3,-204,-112
Nasus,3,0,1%,1,2,33%,1.6,-,26:52:00,8,454,379,-21,-878,-190
Taric,2,1,1%,2,0,100%,6.5,10,34:32:00,1.2,109,246,6,338,211
Zed,1,2,1%,0,1,0%,0.5,9,26:35:00,5.9,218,278,-,-,-
Kled,2,1,1%,2,0,100%,3.3,9,35:29:00,8.2,418,407,-2,-495,-872
Qiyana,2,1,1%,0,2,0%,1.3,7,34:18:00,5.2,418,343,-23,-586,-1306
Brand,1,1,0%,1,0,100%,5,6,32:26:00,8.8,812,431,-,-,-
Evelynn,1,1,0%,0,1,0%,0,5,25:27:00,5,215,261,-16,-1781,-656
Ryze,2,0,0%,2,0,100%,2.7,-,33:50:00,10.5,659,483,24.5,972,478
Talon,2,0,0%,0,2,0%,1,-,33:33:00,5.3,367,318,-9,157,148
Neeko,0,2,0%,,,,,9,0:00,,,,,,
Amumu,0,1,0%,,,,,9,0:00,,,,,,
Elise,0,1,0%,,,,,1,0:00,,,,,,
Heimerdinger,0,1,0%,,,,,8,0:00,,,,,,
Lux,1,0,0%,1,0,100%,10,-,37:09:00,9.2,796,405,12,240,-61
Pantheon,1,0,0%,0,1,0%,2,-,24:22:00,5.7,310,310,-48,-2255,-2466
Shaco,0,1,0%,,,,,2,0:00,,,,,,
Singed,1,0,0%,1,0,100%,4.5,-,32:46:00,6.8,235,327,-17,-1018,155
Skarner,1,0,0%,1,0,100%,12,-,28:28:00,5.3,151,326,2,259,419
Sona,1,0,0%,0,1,0%,0.7,-,26:20:00,0.5,89,219,6,48,-132
Teemo,1,0,0%,0,1,0%,4,-,32:31:00,9.2,662,418,18,1685,194
Fizz,0,0,0%,,,,,-,0:00,,,,,,
Garen,0,0,0%,,,,,-,0:00,,,,,,
Katarina,0,0,0%,,,,,-,0:00,,,,,,
Malzahar,0,0,0%,,,,,-,0:00,,,,,,
Master Yi,0,0,0%,,,,,-,0:00,,,,,,
Nunu,0,0,0%,,,,,-,0:00,,,,,,
Quinn,0,0,0%,,,,,-,0:00,,,,,,
Rammus,0,0,0%,,,,,-,0:00,,,,,,
Warwick,0,0,0%,,,,,-,0:00,,,,,,
Yorick,0,0,0%,,,,,-,0:00,,,,,,
Zyra,0,0,0%,,,,,-,0:00,,,,,,
Illaoi,0,0,0%,,,,,-,0:00,,,,,,
Belveth,0,0,0%,,,,,-,0:00,,,,,,
Nilah,0,0,0%,,,,,-,0:00,,,,,,
