Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Zeri,88,512,96%,56,32,64%,5.9,3.6,30:55:00,9.3,587,458,-0.8,150,35
Gwen,173,392,90%,83,90,48%,2.7,4.4,31:26:00,7.8,428,390,-1.3,-154,-17
Jinx,399,144,86%,219,180,55%,4.2,4.7,31:38:00,9.6,527,450,1.7,70,-47
Xin Zhao,264,241,80%,136,128,52%,2.9,4.5,31:44:00,5.5,301,337,-0.6,-40,-51
Aphelios,343,113,73%,158,185,46%,3.3,4.6,31:49:00,9,490,430,0.3,111,68
Ryze,213,208,67%,100,113,47%,3.7,5.5,31:22:00,9.1,389,409,2.3,146,24
Lee Sin,231,166,63%,107,124,46%,3.1,4.5,31:53:00,5.4,263,337,-3.4,-79,-100
Nautilus,236,113,56%,116,120,49%,2.2,7.3,30:38:00,1.1,139,234,2.1,-37,-74
Thresh,147,197,55%,67,80,46%,2.8,5.4,32:05:00,1.1,102,231,2.2,-56,-83
Graves,227,109,54%,101,126,44%,2.7,6,31:57:00,9,488,411,4.8,152,59
Leona,238,98,54%,119,119,50%,2.3,8.4,32:36:00,1.2,104,231,2.7,-34,-14
Caitlyn,46,242,46%,22,24,48%,3.2,3.9,32:59:00,9,469,431,3.3,212,-126
Jayce,122,153,44%,59,63,48%,2.3,7.2,31:28:00,8.6,622,415,8.5,176,-8
Tryndamere,85,187,43%,49,36,58%,3.3,6,31:25:00,9.1,368,436,2.6,232,174
Akali,75,189,42%,41,34,55%,3.2,4.7,32:29:00,7.7,473,390,-1.3,76,158
Viktor,150,92,39%,83,67,55%,4,6.4,31:51:00,8.8,647,414,4.7,9,194
Jarvan IV,93,146,38%,38,55,41%,2.8,5.6,31:41:00,4.8,238,319,-5.8,-259,-286
Karma,84,149,37%,37,47,44%,3.5,4.4,32:43:00,1.2,239,245,-18.2,-237,-324
Renekton,87,145,37%,40,47,46%,2.4,5.3,32:13:00,8.2,354,391,14.2,563,342
Viego,146,74,35%,74,72,51%,3.2,5.3,31:32:00,5.7,283,353,1.6,101,56
LeBlanc,65,152,35%,30,35,46%,4.1,6.2,32:39:00,7.7,521,376,2.1,50,99
Ahri,129,86,34%,69,60,53%,4.1,6.3,31:34:00,8.4,482,397,-0.4,76,79
Syndra,90,120,33%,47,43,52%,3.3,7.1,31:46:00,8.4,498,393,5.2,108,39
Hecarim,115,83,32%,67,48,58%,3.9,5.5,31:16:00,5.9,274,349,3.2,106,171
Diana,56,139,31%,30,26,54%,3.3,3.7,30:03:00,7,400,388,16.5,610,713
Twisted Fate,44,145,30%,22,22,50%,3.8,3.9,31:33:00,7.6,348,396,-12.2,66,-274
Tahm Kench,119,70,30%,63,56,53%,2.8,6.9,30:51:00,1.4,157,237,2,4,51
Camille,76,110,30%,41,35,54%,2.3,7.6,31:24:00,7.7,432,400,-0.1,40,164
Jhin,145,36,29%,70,75,48%,5.5,6.3,31:34:00,8.8,433,413,-2,-149,-15
Gnar,126,44,27%,78,48,62%,2.8,7.6,31:24:00,8.3,474,400,7.1,337,164
Orianna,95,46,22%,37,58,39%,3.4,8.1,31:01:00,8.7,441,390,1.5,-217,-143
Rakan,98,41,22%,53,45,54%,4.4,8,31:01:00,1.2,140,243,1.8,20,-19
Vex,49,89,22%,21,28,43%,3,6.8,31:26:00,7.4,466,376,-8.3,-242,-281
Volibear,100,37,22%,56,44,56%,3.1,7.8,32:23:00,5,252,321,-6.2,-86,-231
Lulu,51,83,21%,25,26,49%,4.5,7.2,31:05:00,1,108,241,-14.2,-361,-408
Corki,60,65,20%,35,25,58%,4.4,5.1,32:56:00,9.3,689,446,4.2,240,95
Veigar,48,76,20%,26,22,54%,4.9,5.9,31:42:00,8.5,456,412,-1.7,-123,-30
Gragas,76,26,16%,34,42,45%,2.6,8.3,31:37:00,6.6,354,328,-17.9,-646,-169
Braum,65,36,16%,33,32,51%,3.1,8.3,31:49:00,1.1,151,232,0.2,2,43
Irelia,30,69,16%,13,17,43%,1.5,5.5,31:59:00,8.7,380,406,0.9,-170,-166
Yuumi,33,65,16%,15,18,45%,6,6,30:34:00,0.3,269,234,-16.3,-318,95
Poppy,29,57,14%,16,13,55%,3.2,5.3,30:31:00,5.4,243,318,-3.5,-150,-190
Zoe,34,51,14%,21,13,62%,5.3,6,32:58:00,7.8,520,379,3.8,155,131
Ornn,44,39,13%,22,22,50%,3.2,7.3,30:47:00,7,357,338,-9.6,-618,-101
Trundle,55,24,13%,25,30,45%,2.7,5.8,32:22:00,5,237,319,-11.1,-488,-433
Sylas,40,38,12%,21,19,53%,3.5,7.3,31:14:00,8,449,394,-3,-175,-52
Ezreal,60,16,12%,23,37,38%,3.3,8.1,31:07:00,9.1,603,411,0.6,-171,-66
Gangplank,29,37,11%,15,14,52%,4.3,7.5,31:03:00,8.9,646,456,4.4,287,13
Sett,39,24,10%,20,19,51%,2.1,8.5,32:31:00,4.8,317,314,-2.3,-75,-11
Jax,22,38,10%,13,9,59%,2.2,8.4,30:45:00,8.6,405,421,-3.7,152,-188
Akshan,18,39,9%,9,9,50%,2.8,5,31:18:00,8.6,420,408,6.2,204,136
Alistar,50,6,9%,24,26,48%,3.1,9.3,31:18:00,1.1,134,237,-0.3,94,116
Malphite,22,32,9%,13,9,59%,3.8,8,31:57:00,6.6,398,343,-17.5,-543,-31
Varus,35,19,9%,17,18,49%,2.9,5.6,31:09:00,8.7,536,409,2.6,-228,-78
Zilean,25,25,8%,10,15,40%,4.4,7.3,30:14:00,5.6,260,305,-5.7,-317,91
Yasuo,17,29,7%,11,6,65%,3.6,6,27:30:00,8.5,360,416,1.9,48,56
Aatrox,26,16,7%,12,14,46%,2.2,8.6,34:27:00,7.6,451,376,3.9,277,253
Lux,32,10,7%,20,12,63%,4,3.3,32:53:00,2.3,388,288,-3.5,547,140
Seraphine,18,21,6%,10,8,56%,4.8,4.6,33:38:00,7.7,395,378,-5.9,-388,-36
Fiora,10,25,6%,4,6,40%,1.3,5.4,30:27:00,8.5,418,389,-1.1,-238,-229
Sion,26,8,5%,17,9,65%,2.9,7,31:10:00,7.2,393,364,-12.3,-442,-150
Azir,21,12,5%,9,12,43%,2.4,4.8,32:49:00,8.9,485,400,7.2,62,219
Senna,16,17,5%,13,3,81%,4.9,3.5,32:07:00,2.1,429,337,1.4,992,582
Janna,16,15,5%,6,10,38%,3.8,6.9,34:32:00,0.7,85,232,-38.7,-979,-1168
Tristana,20,11,5%,6,14,30%,2.2,6.7,31:30:00,9.1,453,429,1.8,265,282
Galio,12,18,5%,6,6,50%,2.9,5.8,31:23:00,4.7,294,312,-14.7,-200,-388
Kennen,19,11,5%,5,14,26%,1.7,8.4,31:00:00,7.6,443,368,5.4,-153,137
Karthus,11,17,4%,6,5,55%,2.8,2.4,32:19:00,7.4,791,422,16.6,204,768
Blitzcrank,17,9,4%,10,7,59%,2.5,7.6,30:21:00,1,159,238,0.5,-8,52
Olaf,15,11,4%,5,10,33%,2.3,6.7,33:17:00,6,323,334,15.3,254,406
Lucian,15,9,4%,7,8,47%,2.8,5.8,31:09:00,9,483,422,4.2,-37,-182
Urgot,13,11,4%,4,9,31%,2.2,5.9,32:22:00,8.4,387,398,-7.2,-300,-101
Ziggs,14,10,4%,5,9,36%,2.7,5.4,31:04:00,8.7,559,388,-14.4,-984,-317
Cassiopeia,11,12,4%,3,8,27%,1.9,4.6,31:45:00,8.7,450,384,-0.8,-561,-235
RekSai,13,9,4%,6,7,46%,2,6.6,30:06:00,5.4,319,344,3.8,280,142
Xayah,15,7,4%,7,8,47%,2.9,8.4,31:28:00,9.5,529,426,2.8,60,346
Kaisa,16,6,4%,9,7,56%,5.2,7.5,30:00:00,9.3,521,451,0.6,171,389
Qiyana,9,13,4%,7,2,78%,4,4.1,31:43:00,6.4,443,388,10.9,387,516
Rell,16,6,4%,11,5,69%,3.3,8.3,31:30:00,1.2,146,250,4.2,116,-126
