Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Xerath,11,10,3%,5,6,45%,4.3,6.9,31:02:00,7.7,718,389,-5,-125,83
Wukong,14,6,3%,5,9,36%,2.8,8.5,31:29:00,7.5,352,362,-7,-378,14
Riven,9,10,3%,2,7,22%,1.4,4.8,30:26:00,8.2,283,377,-13.9,-565,-348
Udyr,15,4,3%,7,8,47%,2.9,5.8,30:26:00,6.8,235,356,20,421,563
Pyke,11,8,3%,5,6,45%,1.9,6.1,34:20:00,1.6,153,283,1.3,239,15
Kassadin,5,13,3%,2,3,40%,4,5.5,29:22:00,8.4,448,409,-6.8,-323,24
Soraka,10,8,3%,4,6,40%,3.5,4,28:12:00,3.6,178,275,-17.2,-397,11
Yone,13,5,3%,8,5,62%,3.3,3.4,30:07:00,9,427,430,-2.1,61,-3
Ivern,8,8,3%,5,3,63%,2.9,4,29:44:00,5,172,294,-23.8,-1460,-881
Nami,11,4,2%,5,6,45%,4.3,8,31:58:00,0.4,178,234,-10.5,-121,273
Twitch,13,2,2%,7,6,54%,3.9,5,31:52:00,8.4,647,438,-9.2,-598,106
Vayne,11,4,2%,4,7,36%,2.8,8.3,27:44:00,8.7,433,436,7.5,340,417
Draven,2,12,2%,1,1,50%,5.5,5.8,39:57:00,8.6,624,484,-2.5,80,-170
Darius,5,8,2%,3,2,60%,3.5,5.9,34:57:00,7.7,368,401,5.8,368,239
Evelynn,3,10,2%,3,0,100%,7.9,3.4,32:15:00,5.7,793,417,-2.3,220,716
Nidalee,7,6,2%,4,3,57%,4.1,3,33:59:00,6.2,354,374,-5.1,193,23
Kalista,4,9,2%,1,3,25%,2.9,4.2,32:49:00,8.6,271,380,5.2,-387,214
Ekko,2,10,2%,0,2,0%,1.1,4.1,24:34:00,7.6,392,365,6.5,8,-32
Shen,6,4,2%,3,3,50%,4.5,9,28:55:00,4.5,204,298,-7.7,-484,249
Bard,6,3,1%,3,3,50%,3.8,6.3,27:48:00,0.8,195,250,-64.8,-1390,-2228
Ashe,6,2,1%,4,2,67%,6.5,8.5,31:12:00,9,570,448,4.8,372,364
KhaZix,2,6,1%,2,0,100%,13.5,2.7,31:01:00,6.1,604,413,7.5,860,626
Nocturne,6,2,1%,4,2,67%,2.5,2,30:35:00,5.6,214,320,5.3,-195,174
Samira,2,6,1%,0,2,0%,1.4,4,33:00:00,8.3,369,406,9,344,198
Rumble,2,5,1%,2,0,100%,7,4.4,30:45:00,8.5,635,440,21,1434,1665
Sejuani,5,2,1%,2,3,40%,5,4.5,33:15:00,6.1,308,341,-7.4,-127,-314
Talon,2,5,1%,0,2,0%,0.9,6.2,25:23:00,5.9,456,318,-53.5,-2324,-1752
Lillia,5,2,1%,1,4,20%,1.3,6.5,30:37:00,6.4,417,346,2.8,-107,-160
Chogath,5,1,1%,2,3,40%,1.9,10,32:16:00,7,333,348,-10.6,-925,-547
Dr. Mundo,4,2,1%,2,2,50%,2.5,10,33:42:00,7.7,560,369,-19.5,-572,-462
Lissandra,5,1,1%,4,1,80%,5.8,9,32:57:00,7.7,418,370,23.6,707,582
Morgana,4,2,1%,1,3,25%,3,7.5,33:02:00,0.7,240,238,-15.2,70,-38
Nasus,2,4,1%,0,2,0%,1.8,7,33:32:00,6.8,375,350,-38,-1292,-1000
Sivir,5,1,1%,1,4,20%,1.9,10,33:23:00,9.3,425,404,-3.8,-143,-2
Zed,5,1,1%,3,2,60%,3.5,7,30:51:00,6.2,382,378,3.4,-22,149
Kled,0,6,1%,,,,,5,0:00,,,,,,
Kayn,5,1,1%,1,4,20%,1.4,8,30:04:00,6.6,408,383,1,17,-130
Annie,0,4,1%,,,,,2.5,0:00,,,,,,
Mordekaiser,3,1,1%,2,1,67%,1.7,10,31:28:00,7.5,512,358,-13.3,-991,-456
Taric,4,0,1%,2,2,50%,2.3,-,27:17:00,1.3,64,227,0.5,-335,-323
VelKoz,3,1,1%,3,0,100%,9.5,6,35:30:00,8.5,739,434,6.3,144,163
Kindred,3,1,1%,0,3,0%,1.3,9,27:27:00,6.3,292,352,-0.3,836,342
Heimerdinger,2,1,0%,1,1,50%,1.4,1,28:15:00,7.5,560,360,3,-30,616
Nunu,1,2,0%,1,0,100%,7,4,30:08:00,5.3,313,357,0,574,-203
Skarner,2,1,0%,0,2,0%,0.6,10,29:39:00,5.1,94,279,6,-490,-429
Taliyah,2,1,0%,1,1,50%,2.1,4,34:34:00,4.2,305,332,4.5,501,144
Amumu,0,2,0%,,,,,7.5,0:00,,,,,,
Anivia,1,1,0%,1,0,100%,17,4,34:21:00,9.1,423,425,0,116,253
KogMaw,2,0,0%,1,1,50%,1.3,-,29:14:00,8.6,591,426,5,380,144
Malzahar,2,0,0%,2,0,100%,12,-,32:47:00,8.8,328,419,-7,39,460
Miss Fortune,2,0,0%,0,2,0%,1.4,-,23:14,8.8,474,378,3,-1306,-360
Sona,2,0,0%,0,2,0%,3.3,-,32:38:00,0.6,115,217,-5.5,-622,-324
Zac,2,0,0%,1,1,50%,4.2,-,27:29:00,5.4,316,341,-7,-1143,-806
Fiddlesticks,0,1,0%,,,,,2,0:00,,,,,,
Quinn,0,1,0%,,,,,8,0:00,,,,,,
Singed,0,1,0%,,,,,9,0:00,,,,,,
Vladimir,1,0,0%,1,0,100%,15,-,36:22:00,8.1,633,401,17,1006,242
Yorick,0,1,0%,,,,,10,0:00,,,,,,
Illaoi,0,1,0%,,,,,5,0:00,,,,,,
Brand,0,0,0%,,,,,-,0:00,,,,,,
Elise,0,0,0%,,,,,-,0:00,,,,,,
Fizz,0,0,0%,,,,,-,0:00,,,,,,
Garen,0,0,0%,,,,,-,0:00,,,,,,
Katarina,0,0,0%,,,,,-,0:00,,,,,,
Kayle,0,0,0%,,,,,-,0:00,,,,,,
Maokai,0,0,0%,,,,,-,0:00,,,,,,
Master Yi,0,0,0%,,,,,-,0:00,,,,,,
Pantheon,0,0,0%,,,,,-,0:00,,,,,,
Rammus,0,0,0%,,,,,-,0:00,,,,,,
Rengar,0,0,0%,,,,,-,0:00,,,,,,
Shaco,0,0,0%,,,,,-,0:00,,,,,,
Shyvana,0,0,0%,,,,,-,0:00,,,,,,
Swain,0,0,0%,,,,,-,0:00,,,,,,
Teemo,0,0,0%,,,,,-,0:00,,,,,,
Vi,0,0,0%,,,,,-,0:00,,,,,,
Warwick,0,0,0%,,,,,-,0:00,,,,,,
Zyra,0,0,0%,,,,,-,0:00,,,,,,
Aurelion Sol,0,0,0%,,,,,-,0:00,,,,,,
Neeko,0,0,0%,,,,,-,0:00,,,,,,
Renata Glasc,0,0,0%,,,,,-,0:00,,,,,,
Belveth,0,0,0%,,,,,-,0:00,,,,,,
Nilah,0,0,0%,,,,,-,0:00,,,,,,
