Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Lillia,31,50,9%,13,18,42%,3.5,4.2,31:31:00,7,555,375,14.2,125,359
Leona,65,14,9%,37,28,57%,2.9,8.9,31:11:00,1.2,114,237,2.8,18,-19
Xayah,53,24,8%,15,38,28%,2.7,8.1,32:34:00,9.4,539,419,-0.4,-351,-86
Shyvana,50,26,8%,25,25,50%,3.3,6.8,32:01:00,8.4,533,389,-3.5,-446,94
Pyke,35,40,8%,20,15,57%,2.5,5.3,32:32:00,1.5,195,270,8.5,136,-32
Ashe,50,23,8%,21,29,42%,3.7,7,32:40:00,5.8,468,341,-2.9,-108,-20
Udyr,34,39,8%,10,24,29%,2,5.1,31:39:00,6.1,234,332,13.1,36,235
Veigar,32,37,8%,10,22,31%,2.5,6.8,31:10:00,8.6,504,394,-7.9,-305,-200
Zoe,30,39,8%,9,21,30%,2.9,5.7,32:08:00,7.8,591,369,-3.1,-21,-217
Kaisa,40,28,7%,22,18,55%,5.2,7.6,31:16:00,9.3,533,465,3.3,213,122
Tristana,40,18,6%,17,23,43%,3.3,7.9,30:15:00,9.1,532,450,1.4,509,39
Miss Fortune,41,15,6%,20,21,49%,4.5,6.8,32:02:00,8.4,681,413,0.9,140,-125
Vi,27,29,6%,15,12,56%,2.6,5.2,30:49:00,5.4,269,332,-2,190,87
Orianna,37,15,6%,16,21,43%,3.4,7.9,33:22:00,9.2,608,412,3.5,97,42
Sion,34,14,5%,18,16,53%,3.3,8.7,32:53:00,7.2,392,346,-10.3,-416,68
Rell,33,15,5%,18,15,55%,3.1,7.5,32:49:00,1,161,239,4,-15,118
Jarvan IV,22,25,5%,9,13,41%,2.8,7.4,33:53:00,4.8,196,303,-5,-169,-267
Samira,16,31,5%,9,7,56%,4.4,5.3,31:24:00,8.8,422,442,-4.4,274,149
Alistar,34,12,5%,19,15,56%,2.7,7.6,31:28:00,1.1,141,235,1.7,-219,-162
Jayce,25,21,5%,14,11,56%,2.7,7,34:16:00,8.6,782,431,5.2,174,-178
Galio,16,29,5%,8,8,50%,3.8,6.6,30:38:00,7.7,425,357,-4.4,257,155
Darius,13,28,5%,9,4,69%,2.7,4.7,34:23:00,7.9,416,403,14.5,321,5
Graves,17,18,4%,7,10,41%,3.4,5.8,31:41:00,7.1,486,391,14,646,620
Twisted Fate,11,24,4%,6,5,55%,4,5,30:04:00,8,433,418,-5.2,260,-151
Zilean,24,9,4%,10,14,42%,4,8.4,34:10:00,3,221,262,-2.7,-212,149
Nocturne,17,15,4%,12,5,71%,3.9,5.5,32:36:00,5.7,310,353,5.3,180,129
Ryze,15,15,3%,9,6,60%,3.7,7.7,31:37:00,9.3,559,427,1.5,145,-84
Kindred,16,14,3%,7,9,44%,2.5,6.2,30:48:00,6.5,420,373,4.5,-63,-12
Sett,14,15,3%,7,7,50%,1.8,8.1,30:28:00,4.6,322,314,-3.2,24,-169
KogMaw,18,9,3%,8,10,44%,3.4,8.2,33:41:00,9.3,769,438,6.6,198,97
Syndra,16,11,3%,4,12,25%,2,8.4,30:51:00,8.4,586,369,-3.9,-373,-558
Blitzcrank,16,9,3%,9,7,56%,2.9,8.2,32:08:00,1,165,230,1.1,-199,-505
Karthus,8,17,3%,2,6,25%,1.5,2.9,31:47:00,6.7,758,356,2.8,-180,25
Tryndamere,16,9,3%,6,10,38%,3.1,8.7,32:56:00,9,434,429,16.4,854,804
Zac,12,13,3%,5,7,42%,3.3,5.2,31:40:00,6.4,414,338,-7.5,-667,-459
Renekton,16,8,3%,5,11,31%,2.4,7.5,33:14:00,8.1,442,383,24.9,901,715
Cassiopeia,11,9,2%,7,4,64%,3.3,6.9,31:40:00,8.8,519,418,6,178,-79
Nidalee,10,10,2%,3,7,30%,3.8,3.7,29:31:00,6.8,489,394,23.1,1004,1017
Riven,8,11,2%,4,4,50%,3,7.3,33:50:00,8.5,455,417,11.6,373,210
KhaZix,10,8,2%,8,2,80%,4.7,7.5,32:46:00,6.1,497,398,3.5,367,168
Mordekaiser,11,7,2%,6,5,55%,2.7,7.4,31:28:00,8,518,390,11.7,520,539
Thresh,15,3,2%,5,10,33%,2.8,9,34:37:00,1,139,223,2.4,60,301
Rumble,13,4,2%,4,9,31%,3.3,8,32:08:00,6.1,680,372,-10.8,-17,-170
Kayn,8,9,2%,3,5,38%,2.3,3.2,30:19:00,6.4,400,366,3.5,-86,144
Rengar,8,8,2%,3,5,38%,1.8,3.9,29:09:00,6.1,375,359,-1.9,-510,-189
Soraka,11,5,2%,3,8,27%,3.7,6.8,30:53:00,3.5,192,260,-15.6,-534,-394
Vladimir,11,5,2%,6,5,55%,3.3,8.2,30:34:00,8.2,531,388,6.2,-280,135
Bard,11,4,2%,5,6,45%,3.9,8.8,35:01:00,0.9,250,245,-5.2,158,90
Kennen,9,5,2%,6,3,67%,3.7,8.4,30:32:00,8,680,429,10,670,487
Taric,9,5,2%,3,6,33%,2.7,8.8,33:14:00,1.6,155,241,2.1,-469,-79
Ziggs,9,4,1%,3,6,33%,2.8,6.8,29:17:00,8.3,667,392,-10.8,-198,-473
Hecarim,4,8,1%,3,1,75%,3.4,6.5,33:03:00,6,341,356,3.8,-22,170
RekSai,5,7,1%,4,1,80%,6.2,4.1,29:39:00,6.5,364,396,6,515,105
Akshan,6,6,1%,2,4,33%,1.5,8.3,27:39:00,8.2,477,386,-4,-421,-406
Malphite,8,3,1%,5,3,63%,4.3,9.7,32:26:00,6.8,417,339,-18,-544,-98
Nasus,6,5,1%,2,4,33%,2.4,4,32:03:00,7.5,464,378,-20.7,-996,-342
Jhin,9,2,1%,9,0,100%,21,9,29:50:00,8.6,491,434,-4.3,-69,225
Dr. Mundo,5,4,1%,1,4,20%,1.3,6.3,31:00:00,7.3,448,334,4.6,-82,-65
Shen,3,6,1%,1,2,33%,2.4,3.3,33:24:00,6.7,354,326,-30,-1398,-460
Skarner,8,1,1%,5,3,63%,3.5,9,33:01:00,5.2,159,316,-2.1,2,-19
Vayne,6,3,1%,2,4,33%,3.7,7.3,31:38:00,8.6,607,448,6.7,-53,-110
Qiyana,8,1,1%,5,3,63%,4.2,10,30:23:00,6.4,476,401,5.8,744,592
Kassadin,3,5,1%,1,2,33%,2.6,3,27:56:00,9.3,542,417,-16.3,-1469,-719
Sona,7,1,1%,4,3,57%,3.9,10,34:34:00,0.4,180,230,1.1,72,-112
Zed,4,4,1%,3,1,75%,4.6,2,31:24:00,7.2,469,413,18.8,244,1115
VelKoz,2,6,1%,2,0,100%,6.7,5.8,30:21:00,8.4,1006,429,17,484,298
Chogath,7,0,1%,5,2,71%,3.5,-,30:04:00,6.4,346,352,-1.1,-8,85
Xerath,3,4,1%,2,1,67%,9.8,7.5,33:05:00,8.8,911,446,3.7,366,739
Ivern,5,2,1%,2,3,40%,3.8,2,27:45:00,5.2,169,293,-37.4,-1342,-809
Anivia,3,3,1%,0,3,0%,0.9,6.3,31:13:00,7.6,521,333,0.7,402,-36
Annie,0,6,1%,,,,,4.5,0:00,,,,,,
Shaco,2,4,1%,2,0,100%,3.3,3.8,31:50:00,6.5,479,369,5.5,-324,136
Aurelion Sol,1,5,1%,1,0,100%,5,2.6,32:30:00,7.9,550,404,-13,-842,54
Kled,4,2,1%,1,3,25%,3.2,9.5,35:36:00,7,450,380,-9.2,96,166
Caitlyn,5,0,1%,3,2,60%,4.9,-,31:33:00,9,562,437,2.4,488,-135
Heimerdinger,4,1,1%,0,4,0%,0.9,5,30:44:00,8,628,376,8.8,199,496
Morgana,5,0,1%,1,4,20%,2.4,-,30:59:00,2,278,264,11,326,503
Urgot,2,3,1%,1,1,50%,3.2,5.3,32:56:00,8.4,477,435,4,244,40
Brand,1,3,0%,0,1,0%,1,6.7,29:08:00,9.6,788,357,5,-1030,-464
Varus,3,1,0%,0,3,0%,3,9,30:53:00,8.7,706,439,11.7,473,214
Janna,2,1,0%,0,2,0%,1.7,7,35:51:00,0.4,137,203,1.5,-269,-344
Elise,1,1,0%,1,0,100%,-,10,33:28:00,5.9,625,397,17,1078,177
Fiddlesticks,1,1,0%,1,0,100%,10,9,32:05:00,6,354,358,16,649,1047
Lux,1,1,0%,1,0,100%,13,9,35:43:00,1.8,393,279,15,-346,394
Maokai,0,2,0%,,,,,9,0:00,,,,,,
Singed,1,1,0%,0,1,0%,1,10,28:07:00,1.1,140,208,24,338,-1054
Sivir,2,0,0%,1,1,50%,3.6,-,27:16:00,8,447,379,-13.5,-1168,-912
Talon,1,1,0%,0,1,0%,2.6,8,34:11:00,6.4,647,460,14,2933,835
Ekko,1,1,0%,0,1,0%,0.8,1,24:58:00,7.5,704,409,-33,285,-666
Neeko,1,1,0%,0,1,0%,0.2,8,24:02:00,6.6,335,286,-19,-1292,-985
Vex,1,1,0%,0,1,0%,3.5,9,34:10:00,9.3,657,422,-25,-524,-231
Garen,1,0,0%,0,1,0%,1.8,-,32:21:00,7.6,551,367,15,580,92
Katarina,0,1,0%,,,,,7,0:00,,,,,,
Nunu,1,0,0%,0,1,0%,0.8,-,22:39,4,567,349,54,-151,514
Pantheon,1,0,0%,0,1,0%,2.3,-,36:45:00,2.4,314,267,7,331,115
Rammus,0,1,0%,,,,,6,0:00,,,,,,
Teemo,1,0,0%,0,1,0%,3,-,24:30:00,10.3,498,454,38,792,2113
