Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Ahri,43,67,96%,27,16,63%,5.5,4.5,31:46:00,8.3,532,412,1.2,256,179
Zeri,30,76,92%,12,18,40%,3.9,3.9,33:10:00,9.6,539,441,1.7,-118,43
Volibear,37,52,77%,18,19,49%,3.6,3.9,32:34:00,4.8,282,324,-4.4,21,-65
Ornn,44,44,77%,25,19,57%,3.3,6.4,31:31:00,7.2,340,342,-14.8,-580,-83
Xayah,43,41,73%,28,15,65%,5.7,4.3,31:51:00,9.5,639,450,5.2,542,429
LeBlanc,27,56,72%,14,13,52%,3.7,3.4,30:46:00,7.9,571,397,2,172,90
Jarvan IV,50,26,66%,28,22,56%,3.6,5,32:31:00,4.7,237,319,-1.9,-157,-127
Nautilus,44,30,64%,21,23,48%,2.5,6.5,30:52:00,1.1,140,233,2.4,-12,97
Jinx,47,22,60%,23,24,49%,3.7,4.9,31:31:00,9.6,568,445,-2.8,-110,-161
Leona,45,19,56%,23,22,51%,2.6,7.4,31:56:00,1.1,104,232,2.9,49,-52
Lee Sin,27,36,55%,15,12,56%,3.8,3.8,31:02:00,5.6,297,348,-6.3,-227,-150
Gnar,26,33,51%,12,14,46%,1.9,6,31:57:00,8.1,478,399,5.8,213,147
Rakan,31,22,46%,20,11,65%,4,8.1,32:01:00,1.2,130,239,3.5,43,-41
Jayce,18,34,45%,9,9,50%,2.4,6.6,30:53:00,8.7,658,422,10.1,468,-128
Lucian,23,29,45%,10,13,43%,2.9,5.5,32:23:00,8.7,527,421,6.4,206,-98
Ryze,23,29,45%,12,11,52%,4,4.4,30:46:00,8.6,408,403,0.4,-12,47
Viego,32,18,43%,14,18,44%,3.2,5.9,30:37:00,5.6,268,348,4.6,20,194
Aphelios,33,16,43%,17,16,52%,2.8,4.7,30:57:00,9.2,515,426,-2.6,-206,-190
Camille,11,35,40%,7,4,64%,3,6.7,32:59:00,7.8,476,406,0.5,257,253
Gwen,20,25,39%,11,9,55%,3,7.6,33:26:00,8.2,600,402,-1,21,-158
Veigar,11,31,37%,5,6,45%,4.3,4.8,32:05:00,8.8,479,417,5,57,124
Renata Glasc,18,24,37%,8,10,44%,3.9,6.3,30:39:00,0.8,153,242,-6.3,-89,-155
Twisted Fate,12,28,35%,5,7,42%,3.7,3.9,33:04:00,7.6,409,394,-8.5,39,-447
Viktor,26,11,32%,13,13,50%,3.7,6.8,31:51:00,9.1,681,419,5.7,0,20
Miss Fortune,22,11,29%,13,9,59%,5.4,4.8,31:48:00,9.1,652,430,3.1,48,79
Nocturne,20,13,29%,7,13,35%,2.2,5.5,30:49:00,5.7,274,336,4,206,141
Gangplank,12,20,28%,8,4,67%,3.3,6.9,34:32:00,8.9,761,469,10,409,31
Xin Zhao,24,8,28%,15,9,63%,3.3,5.5,32:00:00,5.5,383,347,-1.3,183,89
Tahm Kench,17,15,28%,9,8,53%,2.7,5.3,32:07:00,1.4,156,239,11.4,-21,31
Akali,7,24,27%,2,5,29%,2,4.6,34:27:00,7.4,423,367,-12.4,-978,-485
Trundle,13,18,27%,6,7,46%,4,5.6,32:04:00,4.9,228,318,-6.8,-101,-291
Karma,8,21,25%,5,3,63%,4.5,4.2,29:53:00,1.5,279,265,-11.6,288,48
Sion,14,15,25%,7,7,50%,2.9,8.8,32:22:00,7.5,423,365,-6.1,-269,-36
Yuumi,15,13,24%,8,7,53%,7.7,8.4,31:43:00,0.2,258,238,-12.5,-174,592
Vex,16,10,23%,7,9,44%,2.7,6.6,32:02:00,7.7,503,367,-3.1,-13,-148
Graves,17,5,19%,8,9,47%,2.2,5.8,33:06:00,8.7,501,415,7.2,381,129
Aatrox,13,6,17%,8,5,62%,4.1,9.5,28:23:00,8.6,470,418,19.3,843,515
Ezreal,16,2,16%,9,7,56%,5.3,10,31:48:00,9.1,625,430,-5.6,-484,-88
