Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Jax,27,48,11%,13,14,48%,1.9,8.3,30:17:00,8.1,351,385,-6.6,-299,-131
Volibear,58,17,11%,39,19,67%,4.3,7.5,31:49:00,5.3,313,339,-2.4,224,98
Sett,48,27,11%,22,26,46%,2.3,6.9,33:42:00,4.7,343,320,2.4,246,164
Sylas,42,31,11%,17,25,40%,2.8,8.2,31:45:00,7.7,434,383,-6.2,-296,-156
Irelia,27,45,11%,15,12,56%,2,6.2,32:07:00,8.9,425,415,8,192,-122
Kennen,42,27,10%,21,21,50%,2.2,7.6,31:45:00,7.7,530,378,0.3,68,-65
Akshan,21,48,10%,9,12,43%,2.8,5.4,32:14:00,8.1,407,390,8.6,485,105
Gnar,47,21,10%,27,20,57%,2.9,8.8,33:23:00,8.2,499,392,10.9,520,189
Zoe,27,39,10%,16,11,59%,4.4,5.8,32:10:00,7.8,547,378,-6.6,-164,-292
Nidalee,19,44,9%,7,12,37%,4.1,3.5,31:03:00,6.6,452,370,4.5,396,223
Galio,37,23,9%,18,19,49%,3.3,7.4,31:09:00,5.9,319,326,-9.3,-505,-287
Lux,38,22,9%,22,16,58%,3.5,6.4,32:17:00,1.5,312,262,-7.5,84,60
Varus,41,13,8%,19,22,46%,3.6,7.2,32:50:00,8.7,581,414,3.4,-7,55
Aatrox,37,16,8%,23,14,62%,3.3,8.8,31:28:00,8,481,396,18.2,544,362
Yasuo,23,28,8%,9,14,39%,2.4,6.5,31:06:00,8.6,324,413,-1.6,-32,-242
Sion,25,20,7%,10,15,40%,2.4,8,31:40:00,6.9,409,336,-5.2,-271,-211
Fiora,17,27,7%,11,6,65%,3.7,4.9,33:02:00,8.7,506,426,9,654,115
Malphite,15,28,6%,7,8,47%,2.9,9,30:13:00,6.8,367,332,-23.5,-1036,-386
Seraphine,19,22,6%,12,7,63%,5.8,4.9,32:04:00,6.4,359,348,-13.6,-644,-537
Alistar,29,10,6%,15,14,52%,2.6,8.8,33:24:00,1,128,228,-0.7,34,84
Azir,27,11,6%,13,14,48%,3,8.5,34:32:00,9,567,403,4.2,188,257
Janna,16,21,6%,8,8,50%,3.6,5.1,34:05:00,0.6,74,230,-38.4,-780,-1250
Lucian,21,13,5%,9,12,43%,3.1,4.8,30:39:00,8.9,456,408,-3,-204,-341
Olaf,18,15,5%,11,7,61%,3.2,7.5,31:55:00,5.6,367,350,7.1,161,-106
Rell,23,8,5%,10,13,43%,2,7.1,31:34:00,1.1,116,233,2.9,-6,-34
Xerath,14,14,4%,3,11,21%,2.5,6.1,34:12:00,7.5,745,371,-10.7,-345,-334
Zilean,16,12,4%,11,5,69%,7.5,8.5,34:30:00,3.1,171,277,-2.3,-19,270
Ziggs,13,13,4%,4,9,31%,3.7,5.3,34:25:00,8.6,831,418,2.5,199,332
Yone,11,15,4%,5,6,45%,2.4,6.6,33:14:00,8.8,405,422,-5.4,127,282
RekSai,9,15,4%,4,5,44%,2.1,5.8,33:11:00,5.8,253,327,-9.5,-540,-502
Urgot,5,18,3%,2,3,40%,3.6,5.3,29:44:00,9,312,401,5.6,1,397
Blitzcrank,15,7,3%,8,7,53%,2.6,6.7,31:40:00,1,182,239,2.2,-52,-80
Karthus,7,15,3%,2,5,29%,2.8,2.8,32:09:00,7.8,685,385,7.9,132,198
Tristana,18,3,3%,9,9,50%,3.6,10,31:41:00,9,491,443,1.9,198,81
Kassadin,7,13,3%,5,2,71%,6.5,6.7,33:57:00,9,691,460,-11.4,-260,-128
Samira,7,13,3%,2,5,29%,2.5,4.1,28:16:00,9.3,399,415,-4,133,146
Wukong,15,4,3%,8,7,53%,2.3,7.3,31:16:00,7,336,356,-10.8,-498,-191
Qiyana,9,10,3%,1,8,11%,2.2,3.6,35:08:00,6.7,401,362,-4.1,81,44
KhaZix,3,13,2%,1,2,33%,2.7,2.6,30:22:00,6.3,428,395,6.3,-148,4
Kalista,6,10,2%,4,2,67%,4.6,4.5,32:27:00,9.3,328,427,4.5,123,416
Xayah,12,4,2%,4,8,33%,2.4,6.8,33:42:00,9.2,543,392,-6,-443,-163
Kaisa,10,6,2%,4,6,40%,3.8,8.5,31:06:00,9,537,448,1.2,-78,377
Shen,11,4,2%,5,6,45%,3.6,5.3,34:22:00,6.1,336,338,-17.5,-518,-251
Draven,4,8,2%,2,2,50%,5.4,4.9,32:30:00,8.5,686,513,4.7,1121,637
Zed,6,6,2%,4,2,67%,4.1,8,35:01:00,7.6,375,378,-2.5,-331,117
Pyke,3,9,2%,2,1,67%,3.4,7.3,30:12:00,1.9,154,292,1.3,435,-103
Sejuani,8,3,2%,2,6,25%,2.4,2.7,29:41:00,5.6,233,320,-10,-187,250
Soraka,10,1,2%,5,5,50%,2.8,2,28:00:00,4.4,175,284,-26,-1094,-517
Riven,3,7,1%,1,2,33%,1.9,2.6,34:06:00,7.2,409,388,-5,-705,-836
Talon,4,6,1%,2,2,50%,3,5.7,32:55:00,7.9,331,396,-11.5,-551,-36
Ekko,4,6,1%,3,1,75%,4.1,4.3,30:19:00,9.1,551,468,15.8,1170,1370
Cassiopeia,8,1,1%,3,5,38%,2.4,7,31:56:00,8.4,521,393,7.1,-108,-120
Nami,9,0,1%,4,5,44%,4.6,-,31:15:00,0.7,180,237,-11.8,-109,200
Vladimir,5,4,1%,1,4,20%,1.9,9,31:34:00,7.8,584,374,9.6,286,498
Lissandra,6,2,1%,4,2,67%,6.2,7,36:53:00,8,436,384,8,662,540
Dr. Mundo,4,3,1%,1,3,25%,2.2,8.7,33:48:00,7.7,558,362,-12.8,-736,160
Mordekaiser,4,3,1%,1,3,25%,1.4,5.7,31:08:00,7.7,422,374,21.5,498,862
Sona,6,1,1%,4,2,67%,3,7,28:03:00,1.6,191,257,-11.5,-436,178
Udyr,6,1,1%,1,5,17%,1.6,3,31:27:00,6.5,175,339,28.7,583,875
Annie,1,5,1%,0,1,0%,1.6,1.6,34:08:00,6.8,438,345,-,-,-
Chogath,4,2,1%,2,2,50%,2.2,7.5,33:34:00,7.7,345,363,-11.5,-608,-360
Nocturne,5,1,1%,2,3,40%,3.2,2,35:23:00,5.5,342,348,0,-646,-304
Bard,3,3,1%,1,2,33%,2.1,9,29:19:00,1.1,201,250,-6.3,262,412
Lillia,3,3,1%,3,0,100%,11.5,9.3,33:44:00,6,301,355,14,204,396
Darius,2,3,1%,2,0,100%,26,9.3,32:43:00,8.2,367,454,22.5,777,492
Morgana,5,0,1%,4,1,80%,8.6,-,29:17:00,0.5,267,266,-9.8,327,-93
Rumble,2,3,1%,1,1,50%,2,1.3,30:01:00,5.6,470,344,-11,-144,-465
Taric,3,2,1%,1,2,33%,2.8,7.5,30:46:00,1.2,81,224,-9,-660,-618
Vayne,5,0,1%,3,2,60%,6.6,-,31:58:00,8.5,471,424,4,-58,240
Ashe,4,0,1%,2,2,50%,5,-,34:15:00,7.6,562,397,14.8,1025,499
Sivir,4,0,1%,3,1,75%,4,-,31:43:00,10,502,424,9.2,-54,218
Zac,2,2,1%,0,2,0%,2.7,10,36:18:00,5.8,347,320,-14,133,48
Kindred,2,2,1%,1,1,50%,2.1,3,36:29:00,7.8,398,415,21,352,696
Kled,0,4,1%,,,,,2.5,0:00,,,,,,
Evelynn,2,1,0%,2,0,100%,4,1,29:30:00,6.5,465,387,12,606,686
Heimerdinger,0,3,0%,,,,,4.7,0:00,,,,,,
KogMaw,3,0,0%,1,2,33%,2.2,-,30:23:00,8.8,578,391,13.3,598,373
Twitch,1,2,0%,0,1,0%,2,8.5,24:35:00,7.9,282,348,-26,-2987,-1342
Taliyah,2,1,0%,0,2,0%,3.5,2,32:40:00,3.6,530,332,-21,548,-164
Ivern,2,1,0%,1,1,50%,3.8,9,28:16:00,5.5,233,297,-24,-558,-106
Anivia,2,0,0%,2,0,100%,3.3,-,30:50:00,9.5,429,421,27,447,683
Fiddlesticks,0,2,0%,,,,,4,0:00,,,,,,
Rengar,1,1,0%,1,0,100%,20,4,26:10:00,7,813,479,15,1882,1166
Shaco,2,0,0%,1,1,50%,2.8,-,31:44:00,5.4,294,343,4.5,533,52
Singed,2,0,0%,1,1,50%,2.6,-,33:52:00,7.7,360,361,-13,-753,-376
Skarner,2,0,0%,1,1,50%,4.2,-,31:47:00,5.3,179,323,-4,432,-66
Yorick,2,0,0%,2,0,100%,-,-,26:12:00,10,557,469,33.5,1792,906
VelKoz,1,1,0%,1,0,100%,15,10,46:40:00,8.2,1152,423,-1,399,-351
Kayn,2,0,0%,1,1,50%,3.6,-,37:50:00,7,445,417,28.5,758,952
Amumu,1,0,0%,0,1,0%,1.8,-,30:02:00,1.4,174,225,-,-,-
Elise,1,0,0%,0,1,0%,0.8,-,41:54:00,4.1,243,272,-2,195,-359
Maokai,1,0,0%,0,1,0%,2.8,-,40:51:00,0.9,350,227,-,-,-
Nasus,0,1,0%,,,,,8,0:00,,,,,,
Pantheon,1,0,0%,1,0,100%,2.3,-,33:55:00,8,605,408,3,583,137
Aurelion Sol,1,0,0%,1,0,100%,-,-,29:04:00,8.4,614,428,-2,-92,477
Ahri,0,0,0%,,,,,-,0:00,,,,,,
Brand,0,0,0%,,,,,-,0:00,,,,,,
Fizz,0,0,0%,,,,,-,0:00,,,,,,
Garen,0,0,0%,,,,,-,0:00,,,,,,
Katarina,0,0,0%,,,,,-,0:00,,,,,,
Kayle,0,0,0%,,,,,-,0:00,,,,,,
Malzahar,0,0,0%,,,,,-,0:00,,,,,,
Master Yi,0,0,0%,,,,,-,0:00,,,,,,
Miss Fortune,0,0,0%,,,,,-,0:00,,,,,,
Nunu,0,0,0%,,,,,-,0:00,,,,,,
Quinn,0,0,0%,,,,,-,0:00,,,,,,
Rammus,0,0,0%,,,,,-,0:00,,,,,,
Shyvana,0,0,0%,,,,,-,0:00,,,,,,
Swain,0,0,0%,,,,,-,0:00,,,,,,
Teemo,0,0,0%,,,,,-,0:00,,,,,,
Vi,0,0,0%,,,,,-,0:00,,,,,,
Warwick,0,0,0%,,,,,-,0:00,,,,,,
Zyra,0,0,0%,,,,,-,0:00,,,,,,
Illaoi,0,0,0%,,,,,-,0:00,,,,,,
Neeko,0,0,0%,,,,,-,0:00,,,,,,
Renata Glasc,0,0,0%,,,,,-,0:00,,,,,,
Belveth,0,0,0%,,,,,-,0:00,,,,,,
Nilah,0,0,0%,,,,,-,0:00,,,,,,
