Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Gwen,240,317,84%,127,113,53%,3.2,5.3,32:04:00,8.1,476,404,2.9,82,125
Corki,149,396,82%,71,78,48%,3.9,4.1,33:17:00,9.1,723,435,0.3,79,-94
Xin Zhao,334,204,81%,170,164,51%,2.8,5.4,32:25:00,5.4,304,328,-1.5,-101,-47
Jinx,375,151,79%,197,178,53%,4.6,4.7,32:01:00,9.7,558,453,3.7,181,2
Caitlyn,75,373,67%,37,38,49%,4.2,3.4,33:07:00,9.2,511,438,8.5,486,124
Lee Sin,235,195,64%,138,97,59%,3.9,5.1,32:27:00,5.4,279,342,-2.3,81,-36
Twisted Fate,89,326,62%,50,39,56%,4.5,3.6,31:13:00,7.8,397,407,-4.6,465,11
Aphelios,328,76,61%,163,165,50%,3.5,5,32:30:00,9.2,505,434,1.1,122,56
Thresh,185,204,58%,102,83,55%,3.4,5.2,32:09:00,1.1,107,236,3.3,33,-8
Akali,106,259,55%,57,49,54%,3.2,5.4,33:55:00,7.8,483,386,-1.2,-68,228
Nautilus,242,110,53%,119,123,49%,2.3,7.8,32:01:00,1.1,140,232,2.6,-38,-23
Viktor,217,134,53%,105,112,48%,3.5,6.8,33:30:00,8.8,628,404,0.2,-165,-51
Zeri,93,246,51%,57,36,61%,5,3.7,32:03:00,9.4,584,451,-1.3,38,-11
Renekton,125,195,48%,47,78,38%,2.3,4.9,31:50:00,8.1,363,374,4.8,130,59
LeBlanc,72,246,48%,36,36,50%,4.1,5.6,32:37:00,7.9,528,383,6,146,314
Leona,230,64,44%,122,108,53%,2.4,8,32:36:00,1.2,108,233,3.2,-35,-44
Jayce,128,160,43%,64,64,50%,2.9,6.6,32:25:00,8.5,669,416,10.9,375,-23
Diana,74,212,43%,31,43,42%,2.6,3.9,31:27:00,6.7,379,364,13.7,293,490
Jarvan IV,153,126,42%,76,77,50%,3.3,6.1,32:47:00,4.9,243,320,-5.7,-244,-251
Ryze,149,119,40%,75,74,50%,4.4,5.5,31:41:00,9.2,425,414,6.4,190,163
Karma,97,167,40%,38,59,39%,3,4.8,33:01:00,1.3,231,241,-10.2,-122,-177
Viego,167,75,36%,78,89,47%,3.3,5.7,32:22:00,5.6,273,344,1.6,101,64
Camille,90,105,29%,53,37,59%,2.5,7.4,31:31:00,7.7,431,386,-5.1,-132,-61
Jhin,152,34,28%,69,83,45%,5.3,6,33:02:00,8.7,477,413,-4.9,-313,-26
Vex,81,105,28%,39,42,48%,3.2,7,32:00:00,7.6,487,373,-6.7,-71,-182
Graves,124,59,27%,53,71,43%,2.5,7,32:27:00,9.1,512,420,9.7,368,265
Senna,97,85,27%,47,50,48%,4.7,4.1,32:13:00,5.5,463,366,-7,-14,19
Orianna,120,61,27%,72,48,60%,5.1,8,32:38:00,9,480,411,7.2,148,150
Lulu,72,108,27%,33,39,46%,4,7,31:37:00,0.9,113,234,-5.9,-69,-13
Tryndamere,59,114,26%,29,30,49%,2.8,5.2,31:53:00,8.9,386,424,3.2,28,96
Gragas,123,46,25%,54,69,44%,2.4,7.7,32:57:00,6.6,372,323,-13.7,-520,-159
Syndra,74,92,25%,31,43,42%,2.8,7.8,31:26:00,8.3,519,379,5.6,25,29
Rakan,95,69,25%,45,50,47%,3.4,7,32:40:00,1.2,137,234,1.9,19,-112
Tahm Kench,111,49,24%,54,57,49%,2.7,6.9,32:09:00,2,160,246,0.2,-203,-81
Ornn,89,54,21%,46,43,52%,3.1,7.5,33:11:00,6.7,366,331,-12.5,-590,-179
Hecarim,66,67,20%,35,31,53%,3.4,5.8,31:46:00,5.8,292,349,7.6,180,306
Yuumi,48,74,18%,27,21,56%,7,6.1,32:31:00,0.3,259,236,-11,-167,31
Poppy,65,48,17%,32,33,49%,2.5,6.7,34:02:00,5,229,302,-5.8,-258,-213
Braum,60,42,15%,27,33,45%,2.7,8.5,33:18:00,1,153,223,0.3,-5,88
Trundle,47,46,14%,16,31,34%,2.5,6.6,32:30:00,4.8,254,309,-8,-213,-373
Gangplank,31,52,12%,19,12,61%,3.2,7.3,35:39:00,8.5,628,456,5.5,266,-39
Ezreal,65,15,12%,31,34,48%,3.4,7.8,33:41:00,9,633,412,-1.1,-374,-44
Veigar,42,34,11%,17,25,40%,3.5,6.8,32:03:00,8.6,448,393,-2,-251,-89
